transaction_id,account_id,transaction_date,amount,category,type,payment_mode,description
36,235,2025-06-11,179146.0,Freelance,Income,Debit Card,Laboriosam consequuntur totam.
37,800,2025-12-12,20525.0,Utilities,Expense,Net Banking,Eaque autem sint.
38,202,2024-12-26,10028.0,Utilities,Expense,Credit Card,Esse nostrum at.
39,563,2026-06-27,1245.0,Healthcare,Expense,Cash,Quas illo.
40,333,2025-10-09,212.0,Healthcare,Expense,Debit Card,Delectus vitae inventore.
41,606,2024-08-31,5098.0,Shopping,Expense,Debit Card,Enim error placeat nihil.
42,994,2026-03-30,65917.0,Rental Income,Income,Net Banking,Laudantium temporibus minima non.
43,721,2025-09-06,11149.0,Shopping,Expense,Debit Card,Aspernatur at quas totam.
44,131,2026-02-07,15693.0,Rent,Expense,Upi,Sed vero quo.
45,481,2026-02-22,16724.0,Shopping,Expense,Upi,Cum officiis fugit corporis.
46,836,2026-05-16,20473.0,Salary,Income,Cash,Maxime quos esse accusantium quibusdam.
47,353,2024-09-13,58653.0,Investment Returns,Income,Upi,Ipsam dignissimos officiis beatae.
48,490,2025-12-24,10516.0,Utilities,Expense,Net Banking,Amet non iure.
49,49,2025-03-24,20709.0,Utilities,Expense,Debit Card,Aut quaerat.
50,997,2026-05-04,17773.0,Business,Income,Cash,Provident nemo.
51,119,2025-12-08,6762.0,Shopping,Expense,Credit Card,Exercitationem perferendis ipsum.
52,119,2026-04-22,15601.0,Food,Expense,Credit Card,Laboriosam esse quia.
53,23,2026-02-26,16424.0,Emi,Expense,Upi,Ipsam placeat.
54,38,2026-05-19,82028.0,Rental Income,Income,Cash,Vel debitis.
55,221,2024-10-17,5178.0,Shopping,Expense,Credit Card,Nihil incidunt minima veniam.
56,642,2026-04-06,4901.0,Entertainment,Expense,Cash,Nisi officia temporibus maxime maxime.
57,141,2024-10-29,14778.0,Travel,Expense,Net Banking,Corporis recusandae ipsum.
58,64,2025-02-21,6142.0,Entertainment,Expense,Upi,Maiores quae fugiat.
59,42,2025-11-27,8781.0,Healthcare,Expense,Upi,Velit assumenda sed.
60,249,2025-09-09,1700.0,Emi,Expense,Cash,Dignissimos necessitatibus error enim.
61,111,2026-05-30,21756.0,Education,Expense,Upi,Harum vero.
62,71,2025-04-28,17378.0,Travel,Expense,Debit Card,Maiores assumenda.
63,810,2024-11-07,9341.0,Emi,Expense,Cash,Temporibus qui voluptas.
64,585,2025-03-04,799.0,Education,Expense,Credit Card,Temporibus nostrum eius natus.
65,473,2024-08-02,2140.0,Rent,Expense,Upi,Id ipsa neque officiis fugit.
66,375,2025-02-11,8162.0,Rent,Expense,Credit Card,Quos magnam nobis.
67,975,2024-07-28,20227.0,Insurance,Expense,Debit Card,Fugiat maiores numquam in.
68,782,2026-02-02,80000.0,Freelance,Income,Credit Card,Autem id perspiciatis harum.
69,772,2026-03-15,17476.0,Emi,Expense,Debit Card,Dolorum sit.
70,719,2025-03-07,15661.0,Utilities,Expense,Credit Card,A consequatur quas soluta.
71,535,2026-04-01,5042.0,Food,Expense,Debit Card,Voluptas eaque nulla quo repellendus.
72,741,2025-10-03,14951.0,Insurance,Expense,Cash,Maxime quasi nemo cum.
73,23,2026-03-23,20856.0,Healthcare,Expense,Net Banking,Natus non cum quam ducimus.
74,724,2025-10-26,7942.0,Utilities,Expense,Cash,Impedit occaecati ducimus doloremque animi.
75,299,2025-01-27,134475.0,Business,Income,Upi,Libero odit itaque.
76,485,2026-05-02,5442.0,Shopping,Expense,Credit Card,Rerum alias illo minus.
77,572,2025-04-04,64318.0,Salary,Income,Cash,Numquam neque animi eveniet.
78,125,2025-08-02,9590.0,Healthcare,Expense,Net Banking,Hic nobis soluta nostrum.
79,129,2025-01-08,21527.0,Food,Expense,Upi,Optio occaecati magni cum.
80,228,2025-08-02,136095.0,Business,Income,Cash,Incidunt labore rerum.
81,11,2026-03-26,7873.0,Entertainment,Expense,Cash,Modi debitis impedit quis.
82,642,2025-06-26,19167.0,Utilities,Expense,Upi,Laboriosam adipisci.
83,814,2024-12-15,4706.0,Insurance,Expense,Cash,Saepe quis voluptas vitae laborum.
84,964,2026-06-20,145772.0,Rental Income,Income,Net Banking,Velit quos.
85,282,2026-02-19,76702.0,Rental Income,Income,Upi,Tenetur placeat impedit.
86,891,2026-05-25,154132.0,Investment Returns,Income,Credit Card,Inventore omnis ratione praesentium.
87,11,2025-08-15,15949.0,Entertainment,Expense,Upi,Esse consectetur fuga.
88,762,2025-04-25,586.0,Emi,Expense,Upi,Dicta deserunt.
89,802,2024-10-30,21886.0,Travel,Expense,Net Banking,Quia quasi eveniet in quis.
90,97,2024-09-09,151619.0,Freelance,Income,Cash,Voluptate sequi nam reiciendis tempore.
91,897,2025-08-27,7178.0,Emi,Expense,Upi,Voluptatum assumenda cum dolor ipsam.
92,445,2024-08-13,48024.0,Investment Returns,Income,Credit Card,Minus eum ad odio.
93,211,2024-11-02,20135.0,Education,Expense,Net Banking,Nemo aut vitae.
94,709,2024-10-07,21744.0,Education,Expense,Upi,A maiores occaecati facilis.
95,977,2025-01-05,5257.0,Food,Expense,Cash,Reiciendis porro.
96,446,2026-07-03,14630.0,Food,Expense,Credit Card,Modi blanditiis delectus.
97,342,2024-09-15,17810.0,Education,Expense,Upi,Ut itaque.
98,441,2024-09-20,5403.0,Emi,Expense,Debit Card,Unde reprehenderit quod ex.
99,63,2025-07-08,20461.0,Utilities,Expense,Debit Card,Pariatur blanditiis adipisci tenetur.
100,814,2026-03-06,77377.0,Rental Income,Income,Debit Card,Nisi voluptatem odit.
101,690,2026-07-08,2281.0,Food,Expense,Net Banking,Saepe dignissimos perspiciatis.
102,743,2026-03-17,9772.0,Insurance,Expense,Net Banking,Sit iusto.
103,709,2024-10-22,15960.0,Education,Expense,Net Banking,Impedit quidem eaque laudantium.
104,353,2025-12-11,17683.0,Food,Expense,Net Banking,Autem sunt.
105,289,2024-12-25,6309.0,Healthcare,Expense,Net Banking,Atque reprehenderit.
106,987,2025-10-09,9253.0,Food,Expense,Cash,Velit natus quia sit.
107,1010,2025-07-21,16274.0,Food,Expense,Net Banking,Tenetur culpa eum autem.
108,226,2025-08-17,7025.0,Travel,Expense,Debit Card,Reiciendis omnis fugiat possimus enim.
109,895,2024-10-20,19207.0,Healthcare,Expense,Cash,Perferendis a placeat aliquid tempora.
110,852,2026-03-04,8943.0,Emi,Expense,Debit Card,Velit reiciendis quas.
111,925,2026-05-31,6159.0,Entertainment,Expense,Net Banking,Reprehenderit maxime a aliquid.
112,844,2024-10-05,164071.0,Business,Income,Net Banking,Voluptates quisquam quo.
113,420,2025-09-04,885.0,Shopping,Expense,Credit Card,Vel perspiciatis molestiae.
114,548,2026-02-10,84915.0,Business,Income,Cash,Nostrum occaecati laboriosam eveniet ea.
115,336,2026-04-13,1895.0,Healthcare,Expense,Debit Card,Ea eaque suscipit ab autem.
116,439,2025-06-12,14203.0,Shopping,Expense,Upi,Impedit itaque corrupti nemo praesentium.
117,732,2026-05-02,20520.0,Utilities,Expense,Net Banking,Nihil quibusdam ipsum temporibus corrupti.
118,416,2025-02-06,13112.0,Rent,Expense,Cash,Voluptatem expedita quaerat error.
119,230,2025-10-13,14214.0,Travel,Expense,Upi,Voluptatem doloremque libero voluptas sunt.
120,178,2025-06-09,11723.0,Shopping,Expense,Net Banking,Reiciendis nisi.
121,47,2025-06-02,17098.0,Entertainment,Expense,Cash,Ipsam porro quaerat.
122,105,2026-04-29,963.0,Entertainment,Expense,Net Banking,Nesciunt numquam.
123,154,2025-12-09,177356.0,Business,Income,Upi,At suscipit non.
124,287,2025-12-24,6635.0,Travel,Expense,Credit Card,Totam labore impedit assumenda.
125,154,2025-12-05,4544.0,Travel,Expense,Net Banking,Dolorum sint.
126,811,2026-01-26,462.0,Utilities,Expense,Debit Card,Libero blanditiis blanditiis.
127,366,2026-04-13,1482.0,Food,Expense,Credit Card,Officiis molestiae ipsum quibusdam.
128,932,2025-11-16,147013.0,Salary,Income,Cash,Voluptatum voluptate dolores.
129,219,2025-02-01,167545.0,Business,Income,Credit Card,Quia autem harum autem ea.
130,179,2024-12-10,66323.0,Rental Income,Income,Debit Card,Dolorem eligendi excepturi.
131,783,2026-05-21,24468.0,Emi,Expense,Upi,Aliquam incidunt fugiat quasi soluta.
132,773,2025-12-20,9151.0,Shopping,Expense,Debit Card,Facere consequuntur accusamus neque.
133,492,2024-12-25,5124.0,Education,Expense,Credit Card,At doloribus.
134,1010,2025-05-08,38414.0,Business,Income,Upi,Voluptas tempora atque mollitia aspernatur.
135,508,2025-05-16,21699.0,Insurance,Expense,Net Banking,Laudantium occaecati.
136,715,2025-11-26,13084.0,Insurance,Expense,Cash,Voluptatibus maiores deserunt.
137,973,2026-04-11,21951.0,Insurance,Expense,Debit Card,Sed quos veritatis voluptates delectus.
138,18,2025-07-14,105892.0,Business,Income,Cash,Placeat ad atque distinctio perspiciatis.
139,120,2025-02-14,65970.0,Investment Returns,Income,Upi,Mollitia nulla magnam perspiciatis vitae.
140,951,2026-06-09,17851.0,Entertainment,Expense,Credit Card,Laborum delectus incidunt.
141,320,2025-02-05,147790.0,Salary,Income,Cash,Fugiat laudantium.
142,872,2024-08-23,164.0,Education,Expense,Cash,Molestias qui aspernatur exercitationem.
143,481,2025-03-29,23269.0,Travel,Expense,Cash,Accusantium et molestiae mollitia.
144,886,2024-08-14,14399.0,Shopping,Expense,Debit Card,Reprehenderit aliquid.
145,554,2025-10-07,42922.0,Rental Income,Income,Credit Card,Veritatis alias accusamus non odit.
146,633,2025-02-11,2947.0,Food,Expense,Upi,Ratione accusamus excepturi quas.
147,622,2025-09-10,4181.0,Entertainment,Expense,Debit Card,Placeat voluptate.
148,429,2026-01-17,7448.0,Food,Expense,Credit Card,Quisquam repellat.
149,114,2026-01-20,71055.0,Freelance,Income,Upi,Numquam atque cupiditate quod id.
150,429,2025-12-11,13947.0,Utilities,Expense,Cash,Doloremque fugit.
151,829,2026-07-01,1278.0,Insurance,Expense,Credit Card,Impedit necessitatibus debitis officiis.
152,1011,2025-12-15,41957.0,Rental Income,Income,Cash,Aliquam beatae dolore soluta.
153,243,2026-02-09,131682.0,Freelance,Income,Credit Card,Et omnis veritatis minus.
154,31,2026-06-16,11108.0,Education,Expense,Upi,Sapiente odit.
155,66,2024-09-03,22218.0,Healthcare,Expense,Debit Card,Quo repudiandae.
156,180,2024-11-07,20396.0,Shopping,Expense,Net Banking,Fugit commodi excepturi explicabo cupiditate.
157,941,2024-11-27,12386.0,Travel,Expense,Debit Card,Molestiae eius.
158,287,2024-11-09,6981.0,Entertainment,Expense,Cash,Vitae quasi odio quae.
159,487,2026-05-30,16613.0,Utilities,Expense,Cash,Ullam tempora ipsa deserunt.
160,210,2025-08-03,24807.0,Rent,Expense,Cash,Voluptas temporibus debitis temporibus.
161,783,2025-07-26,23563.0,Entertainment,Expense,Credit Card,Repellat cumque.
162,357,2025-09-28,5577.0,Utilities,Expense,Upi,Aliquid fuga.
163,696,2024-09-03,24707.0,Rent,Expense,Upi,Nulla omnis a.
164,950,2024-12-05,15208.0,Food,Expense,Net Banking,Vel similique quasi cumque.
165,446,2026-05-07,6998.0,Food,Expense,Credit Card,Quam molestiae itaque.
166,97,2026-03-07,17045.0,Utilities,Expense,Debit Card,Id tempore explicabo perferendis.
167,494,2026-03-13,22925.0,Rent,Expense,Credit Card,Blanditiis earum facilis libero illo.
168,926,2026-01-30,164251.0,Freelance,Income,Credit Card,Fuga maiores temporibus magni.
169,177,2024-09-23,20453.0,Utilities,Expense,Cash,Officiis beatae.
170,168,2026-07-08,10174.0,Healthcare,Expense,Debit Card,Aliquid quam non.
171,576,2024-08-25,14536.0,Shopping,Expense,Debit Card,Error ipsam assumenda optio.
172,421,2024-10-16,21285.0,Travel,Expense,Net Banking,Dicta cumque assumenda.
173,351,2026-07-11,183658.0,Rental Income,Income,Upi,Eligendi minima beatae maiores quisquam.
174,554,2026-06-13,11775.0,Food,Expense,Credit Card,Quaerat dolorem.
175,98,2026-06-24,14537.0,Shopping,Expense,Debit Card,Nam at cum suscipit.
176,617,2025-10-12,9933.0,Travel,Expense,Net Banking,Excepturi nisi nobis.
177,513,2025-12-07,2030.0,Utilities,Expense,Upi,Quis soluta blanditiis.
178,499,2024-09-16,21016.0,Business,Income,Debit Card,Error at odit at.
179,44,2024-11-21,2655.0,Emi,Expense,Cash,Esse veritatis veritatis.
180,352,2024-10-05,24240.0,Travel,Expense,Net Banking,Laborum vitae qui.
181,288,2025-03-28,11562.0,Entertainment,Expense,Cash,Molestias beatae.
182,490,2025-08-08,17092.0,Utilities,Expense,Net Banking,Nesciunt animi repudiandae.
183,869,2026-01-16,4231.0,Emi,Expense,Upi,Tempora itaque autem.
184,343,2026-03-25,12789.0,Food,Expense,Debit Card,Mollitia nisi repellat dolore.
185,228,2025-12-27,15108.0,Food,Expense,Credit Card,Rem magni.
186,242,2026-02-15,67769.0,Freelance,Income,Credit Card,Harum tenetur eveniet porro.
187,977,2026-05-05,10554.0,Travel,Expense,Upi,Hic aspernatur sit nihil reiciendis.
188,366,2025-10-02,22013.0,Insurance,Expense,Upi,Voluptatem optio magnam.
189,406,2025-10-02,17860.0,Shopping,Expense,Upi,Laboriosam doloribus ex odio laborum.
190,343,2025-02-01,20317.0,Utilities,Expense,Cash,Totam cum iusto.
191,309,2026-05-30,16459.0,Utilities,Expense,Debit Card,Qui debitis ut explicabo.
192,837,2025-04-11,14712.0,Travel,Expense,Upi,Quo tempore animi repudiandae aliquam.
193,377,2025-12-29,11631.0,Healthcare,Expense,Credit Card,Consequatur quia itaque odio.
194,564,2025-04-13,7499.0,Rent,Expense,Upi,Perspiciatis omnis temporibus impedit.
195,540,2024-09-21,11668.0,Travel,Expense,Net Banking,Neque ab quidem.
196,329,2026-02-20,20451.0,Shopping,Expense,Net Banking,Illo eum velit odio.
197,811,2026-05-03,4406.0,Rent,Expense,Net Banking,Illo totam veniam cupiditate.
198,579,2024-07-27,11739.0,Shopping,Expense,Upi,Incidunt est ullam pariatur.
199,428,2024-12-13,5967.0,Healthcare,Expense,Debit Card,Dolor voluptatem sequi.
200,973,2025-07-02,20579.0,Food,Expense,Upi,Tempora facere nemo exercitationem.
201,136,2026-05-14,10817.0,Utilities,Expense,Cash,Tempore neque voluptatem saepe.
202,104,2025-09-25,8301.0,Education,Expense,Credit Card,Eius recusandae blanditiis hic.
203,424,2024-07-21,16583.0,Entertainment,Expense,Debit Card,Blanditiis mollitia maxime.
204,121,2025-10-02,24277.0,Utilities,Expense,Net Banking,Nam impedit velit reprehenderit.
205,694,2025-08-09,1607.0,Healthcare,Expense,Credit Card,Doloremque in sint alias cupiditate.
206,987,2024-09-21,17171.0,Entertainment,Expense,Credit Card,Reiciendis ipsam doloremque illum.
207,938,2026-07-06,30473.0,Business,Income,Credit Card,Placeat laudantium fugit porro aliquid.
208,767,2025-11-24,18544.0,Insurance,Expense,Net Banking,Tenetur quae quasi in in.
209,552,2025-10-25,6884.0,Travel,Expense,Debit Card,Repellendus corrupti excepturi nihil odio.
210,372,2026-04-20,11092.0,Insurance,Expense,Net Banking,Praesentium nemo iure.
211,221,2026-02-21,190536.0,Rental Income,Income,Credit Card,Voluptatibus ipsa.
212,12,2026-02-07,23487.0,Education,Expense,Net Banking,Nobis aut reprehenderit voluptates.
213,931,2025-10-21,1018.0,Entertainment,Expense,Credit Card,Sit ullam officia.
214,655,2026-06-05,5285.0,Entertainment,Expense,Cash,Vel amet eos.
215,201,2024-08-06,8118.0,Education,Expense,Debit Card,Deleniti delectus unde.
216,483,2026-02-25,143648.0,Business,Income,Net Banking,Nostrum ratione tempore praesentium.
217,955,2025-10-19,193368.0,Salary,Income,Debit Card,Doloremque a.
218,357,2026-06-16,14646.0,Emi,Expense,Net Banking,Illum saepe dolorum commodi vitae.
219,977,2026-04-06,123521.0,Business,Income,Debit Card,Deleniti sint in nobis minus.
220,872,2024-09-12,22101.0,Rent,Expense,Credit Card,Doloremque at odio voluptatibus molestiae.
221,714,2025-10-24,194141.0,Freelance,Income,Debit Card,Porro quasi magni.
222,847,2026-03-21,12541.0,Entertainment,Expense,Debit Card,Fuga expedita labore.
223,545,2024-10-30,13702.0,Emi,Expense,Debit Card,Facilis quaerat.
224,775,2025-01-27,97267.0,Freelance,Income,Net Banking,Velit minus dicta reiciendis.
225,153,2026-01-24,10973.0,Education,Expense,Debit Card,Tempore suscipit sapiente deserunt eius.
226,461,2024-12-21,187818.0,Investment Returns,Income,Upi,Ducimus nihil amet adipisci eum.
227,977,2025-06-01,13158.0,Shopping,Expense,Credit Card,Incidunt nesciunt.
228,985,2025-05-09,17289.0,Emi,Expense,Cash,Aut reiciendis dolorem.
229,80,2024-09-20,82413.0,Investment Returns,Income,Credit Card,Molestiae vel.
230,561,2025-12-16,19608.0,Entertainment,Expense,Debit Card,Reiciendis cumque sapiente.
231,621,2025-06-09,18700.0,Entertainment,Expense,Upi,Ipsam excepturi eum placeat.
232,135,2025-04-04,21057.0,Education,Expense,Debit Card,Quasi quasi.
233,171,2024-09-17,10882.0,Food,Expense,Upi,Tempore suscipit suscipit nostrum odit.
234,351,2026-06-28,22256.0,Emi,Expense,Cash,Laboriosam officia.
235,258,2024-09-28,154554.0,Salary,Income,Credit Card,Consequuntur autem.
236,534,2024-11-11,102590.0,Salary,Income,Upi,Sint eligendi.
237,506,2024-12-18,11187.0,Food,Expense,Net Banking,Reiciendis aliquid.
238,718,2026-03-20,196442.0,Rental Income,Income,Upi,Quo impedit deleniti.
239,902,2024-10-13,5107.0,Education,Expense,Upi,Esse adipisci distinctio modi.
240,703,2025-03-21,8177.0,Food,Expense,Net Banking,Adipisci ipsa cumque sequi.
241,389,2025-08-20,12954.0,Rent,Expense,Net Banking,Quia repellendus voluptas sit doloribus.
242,777,2025-10-07,15363.0,Entertainment,Expense,Credit Card,Aperiam totam architecto sint nisi.
243,229,2025-10-04,2362.0,Shopping,Expense,Cash,Suscipit praesentium.
244,448,2025-02-07,7089.0,Travel,Expense,Cash,Consequatur quos consectetur.
245,867,2024-08-27,5510.0,Rent,Expense,Upi,Nulla quidem.
246,243,2025-05-13,78771.0,Rental Income,Income,Credit Card,Consectetur aspernatur expedita vel.
247,331,2025-12-21,9853.0,Insurance,Expense,Cash,Rem nam quae corrupti autem.
248,425,2026-03-24,9686.0,Utilities,Expense,Cash,Praesentium nisi distinctio quaerat.
249,237,2025-07-23,22475.0,Travel,Expense,Debit Card,Quam id.
250,945,2024-07-30,9604.0,Healthcare,Expense,Cash,Ea eligendi temporibus dolorem.
251,1006,2025-06-28,19931.0,Insurance,Expense,Net Banking,Rem delectus.
252,564,2025-12-29,23735.0,Travel,Expense,Cash,Provident et commodi quis nostrum.
253,711,2026-07-02,7364.0,Entertainment,Expense,Net Banking,Veritatis ratione ipsum.
254,741,2024-08-22,19027.0,Healthcare,Expense,Cash,Doloremque corrupti molestias.
255,826,2026-01-21,9013.0,Entertainment,Expense,Upi,Quod minus hic a beatae.
256,673,2026-06-12,23539.0,Shopping,Expense,Credit Card,Aspernatur nostrum explicabo repellendus.
257,689,2026-04-10,4527.0,Emi,Expense,Net Banking,Porro consequatur facere occaecati.
258,820,2026-02-16,11502.0,Insurance,Expense,Upi,Dolorem voluptatem consequuntur.
259,838,2026-05-10,12059.0,Emi,Expense,Cash,Nisi error officia.
260,964,2025-12-27,141469.0,Freelance,Income,Net Banking,Aut aperiam consequuntur perferendis ratione.
261,314,2025-03-05,19566.0,Food,Expense,Cash,Magnam minima nam.
262,508,2025-04-12,17514.0,Entertainment,Expense,Credit Card,Iusto distinctio officiis ad.
263,835,2025-04-24,5864.0,Healthcare,Expense,Credit Card,Quos veritatis dolor distinctio nemo.
264,917,2025-09-02,19675.0,Healthcare,Expense,Debit Card,Impedit quo earum pariatur.
265,358,2025-08-29,162082.0,Investment Returns,Income,Credit Card,Eveniet similique rem vitae.
266,249,2026-05-29,114034.0,Business,Income,Upi,Dolorum voluptatum incidunt enim.
267,233,2026-02-08,10787.0,Rent,Expense,Net Banking,Impedit cumque exercitationem voluptas.
268,926,2026-06-19,174471.0,Freelance,Income,Upi,Voluptate repellat voluptas.
269,675,2025-11-25,23517.0,Food,Expense,Net Banking,Sunt quas similique.
270,1,2026-02-19,11031.0,Emi,Expense,Credit Card,Voluptatibus dolores deleniti iure at.
271,10,2026-03-25,18858.0,Insurance,Expense,Debit Card,Voluptatum tempore minus.
272,220,2025-03-07,73161.0,Freelance,Income,Upi,Libero eaque quae iusto ad.
273,291,2025-11-22,3298.0,Healthcare,Expense,Credit Card,Velit similique enim.
274,775,2025-06-21,12057.0,Shopping,Expense,Upi,Quos in nemo at.
275,853,2026-01-07,4119.0,Insurance,Expense,Net Banking,Exercitationem non quos saepe.
276,45,2024-10-02,7407.0,Emi,Expense,Net Banking,Expedita dolorum recusandae excepturi.
277,969,2025-03-01,13522.0,Travel,Expense,Upi,Distinctio ut.
278,554,2024-11-10,9783.0,Rent,Expense,Debit Card,Eius consectetur laboriosam fuga.
279,871,2026-06-26,3581.0,Food,Expense,Cash,Delectus blanditiis soluta repudiandae.
280,64,2025-08-03,22360.0,Rent,Expense,Credit Card,Eaque sequi vero corporis.
281,666,2025-04-03,118078.0,Business,Income,Upi,Reprehenderit earum.
282,665,2024-09-30,7378.0,Insurance,Expense,Net Banking,Quam quam possimus.
283,720,2026-04-19,111151.0,Rental Income,Income,Upi,Occaecati totam similique consectetur.
284,434,2024-10-02,17446.0,Healthcare,Expense,Credit Card,Voluptas voluptate accusamus rerum.
285,613,2025-07-26,22000.0,Food,Expense,Upi,Architecto quae.
286,894,2025-04-13,22460.0,Education,Expense,Cash,Provident suscipit dicta.
287,860,2026-06-18,16364.0,Healthcare,Expense,Net Banking,Fugit consectetur illo ipsa.
288,260,2025-05-05,14264.0,Utilities,Expense,Debit Card,Commodi nisi.
289,370,2026-02-14,100928.0,Business,Income,Cash,Ducimus in repellendus consequatur.
290,39,2025-06-06,13825.0,Utilities,Expense,Cash,Reprehenderit voluptatem.
291,289,2025-10-08,42366.0,Freelance,Income,Upi,Ex consectetur quas ipsa.
292,944,2025-10-24,3936.0,Insurance,Expense,Net Banking,Voluptas occaecati.
293,156,2025-11-25,18913.0,Utilities,Expense,Debit Card,Quibusdam sequi accusamus.
294,892,2025-11-02,2429.0,Rent,Expense,Cash,Harum magni velit.
295,660,2025-08-21,29510.0,Salary,Income,Credit Card,Atque nobis quidem.
296,798,2025-10-14,16371.0,Insurance,Expense,Cash,Quis veniam.
297,508,2025-05-13,16123.0,Entertainment,Expense,Net Banking,Sunt autem ab assumenda.
298,507,2024-08-02,171047.0,Salary,Income,Credit Card,Fuga ad iste quibusdam.
299,745,2026-04-07,12410.0,Emi,Expense,Upi,Molestias molestias expedita repellendus.
300,271,2026-04-26,19477.0,Food,Expense,Net Banking,Optio perferendis.
301,587,2025-01-01,11669.0,Shopping,Expense,Net Banking,Impedit corrupti tenetur suscipit.
302,411,2024-11-15,24276.0,Education,Expense,Upi,Explicabo debitis est.
303,924,2025-06-05,14684.0,Rent,Expense,Credit Card,Cupiditate dicta placeat sequi voluptate.
304,255,2025-03-21,9202.0,Food,Expense,Net Banking,Harum omnis temporibus maiores alias.
305,114,2025-03-08,17421.0,Shopping,Expense,Credit Card,Exercitationem maiores alias ea.
306,470,2024-11-05,13493.0,Education,Expense,Upi,Occaecati animi id delectus.
307,753,2025-04-05,9082.0,Insurance,Expense,Credit Card,Blanditiis a tempore magni.
308,700,2025-09-20,22407.0,Rent,Expense,Credit Card,Quasi accusamus qui deleniti pariatur.
309,160,2024-12-15,15656.0,Travel,Expense,Debit Card,Dignissimos rem.
310,846,2026-04-10,18890.0,Food,Expense,Cash,Explicabo reprehenderit.
311,769,2025-12-29,19062.0,Healthcare,Expense,Cash,Quos commodi dolor quisquam doloremque.
312,397,2025-12-08,162620.0,Rental Income,Income,Debit Card,Cupiditate cum soluta reprehenderit.
313,546,2026-01-30,24028.0,Travel,Expense,Debit Card,Eum distinctio corporis tempore ad.
314,142,2026-03-05,5101.0,Travel,Expense,Upi,Ea minima.
315,675,2024-07-27,1262.0,Utilities,Expense,Cash,Occaecati voluptas nemo.
316,611,2025-09-15,23323.0,Travel,Expense,Debit Card,Amet ipsum perspiciatis iste occaecati.
317,548,2025-01-31,6291.0,Healthcare,Expense,Debit Card,Quaerat inventore.
318,958,2024-11-23,3717.0,Shopping,Expense,Credit Card,Aliquam ducimus.
319,901,2025-05-02,533.0,Healthcare,Expense,Upi,Vel laudantium.
320,293,2025-10-19,11607.0,Education,Expense,Cash,Voluptate tenetur.
321,493,2025-10-18,9947.0,Education,Expense,Net Banking,Velit et odit esse.
