goal_id,user_id,goal_name,target_amount,current_amount,deadline
63,72,Emergency Fund,662474,455226,2029-01-12
64,265,Car Purchase,813368,667657,2029-04-02
65,317,Car Purchase,968989,247998,2028-10-01
66,322,Vacation,947068,16995,2027-04-26
67,23,Car Purchase,671362,465577,2026-08-04
68,200,Emergency Fund,414178,346923,2029-01-06
69,307,Vacation,894336,655095,2029-07-14
70,42,Vacation,492728,319315,2028-07-09
71,435,Vacation,57914,36465,2026-10-25
72,170,Car Purchase,813003,480654,2029-01-12
73,152,Emergency Fund,196765,175581,2027-06-22
74,29,House Down Payment,171972,63390,2028-12-03
75,29,House Down Payment,50322,15444,2026-09-12
76,364,Vacation,288805,284030,2028-09-24
77,429,Emergency Fund,76260,29804,2029-02-03
78,125,Vacation,482155,399261,2028-09-02
79,87,Vacation,169108,48618,2026-12-12
80,61,House Down Payment,406109,320790,2028-06-05
81,276,Emergency Fund,698648,378427,2027-08-15
82,354,Emergency Fund,748681,251605,2029-07-12
83,17,Vacation,967449,228164,2026-07-18
84,342,Vacation,236168,184882,2028-04-11
85,106,House Down Payment,993535,766625,2029-02-20
86,81,Car Purchase,689143,38051,2027-09-21
87,127,Vacation,538164,193325,2028-09-12
88,413,Car Purchase,330158,203029,2028-10-07
89,82,House Down Payment,100352,10208,2027-12-17
90,120,Emergency Fund,720345,677618,2026-07-27
91,72,Emergency Fund,869036,286551,2028-06-26
92,250,House Down Payment,743495,734263,2028-05-09
93,374,House Down Payment,186930,19499,2028-02-25
94,214,House Down Payment,552448,472740,2026-11-24
95,135,Car Purchase,130142,52765,2028-06-27
96,24,House Down Payment,710777,550019,2028-10-14
97,16,Car Purchase,585493,150153,2027-01-09
98,451,Car Purchase,880142,233993,2028-05-18
99,441,Vacation,385366,170706,2028-04-15
100,494,Emergency Fund,387542,40020,2028-09-09
101,147,Car Purchase,607930,189406,2027-09-28
102,127,Emergency Fund,548919,385162,2029-05-03
103,441,Car Purchase,860877,471792,2029-01-26
104,32,House Down Payment,606373,472333,2028-08-27
105,136,House Down Payment,352651,349782,2028-01-07
106,483,House Down Payment,169811,19938,2027-04-19
107,23,Emergency Fund,440294,231010,2026-12-29
108,195,House Down Payment,775944,390978,2026-09-29
109,119,House Down Payment,950287,169996,2028-09-23
110,406,Emergency Fund,662481,561869,2026-08-02
111,338,Vacation,66442,28620,2028-10-23
112,317,Emergency Fund,240448,26516,2029-07-09
113,136,House Down Payment,961284,690387,2026-10-16
114,237,Vacation,276863,233602,2028-06-16
115,130,Car Purchase,957104,508814,2029-01-10
116,186,Car Purchase,308463,90186,2027-04-13
117,370,Vacation,398461,284709,2026-12-29
118,188,Vacation,211235,143894,2027-07-03
119,480,Vacation,807964,170876,2028-03-08
120,135,Emergency Fund,128073,64697,2028-06-17
121,281,Emergency Fund,120999,85530,2026-07-19
122,328,Car Purchase,870753,564337,2027-10-31
123,386,House Down Payment,923069,608698,2028-10-26
124,44,House Down Payment,682903,553472,2029-05-26
125,354,Vacation,904164,151057,2027-04-17
126,421,Vacation,780559,227824,2028-11-25
127,1,Emergency Fund,217291,185901,2028-12-08
128,364,House Down Payment,347572,93302,2027-08-28
129,262,Car Purchase,387862,375485,2027-03-30
130,488,Vacation,512019,377839,2026-07-29
131,256,Vacation,293916,162887,2028-05-14
132,139,House Down Payment,821615,188081,2028-03-08
133,42,Car Purchase,79429,47115,2028-12-26
134,224,Vacation,742332,583627,2029-02-10
135,179,House Down Payment,559598,225681,2028-07-10
136,154,Vacation,704313,79522,2029-04-11
137,74,Vacation,777838,556597,2028-01-11
138,229,House Down Payment,245471,164650,2029-02-19
139,130,Vacation,884778,86325,2028-05-26
140,342,Vacation,601110,598553,2028-01-20
141,488,House Down Payment,93260,81146,2027-10-09
142,306,Emergency Fund,619647,306746,2026-09-15
143,206,Emergency Fund,959316,123183,2029-05-17
144,248,Car Purchase,485500,393072,2027-09-15
145,463,Emergency Fund,238606,235430,2029-05-03
146,408,House Down Payment,567483,453905,2029-04-02
147,296,House Down Payment,615052,345935,2028-12-31
148,370,Vacation,998376,645671,2028-01-05
149,222,Car Purchase,822091,470710,2027-08-03
150,402,Car Purchase,823751,434538,2028-05-09
151,352,Emergency Fund,843490,80859,2027-09-08
152,306,Car Purchase,207696,72355,2028-07-25
153,494,Car Purchase,901698,377761,2028-05-12
154,126,Vacation,888577,125642,2026-12-18
155,267,Vacation,859407,477622,2028-05-19
156,405,Vacation,664510,181513,2027-05-15
157,286,Vacation,362540,61938,2027-12-22
158,81,Emergency Fund,452012,75421,2028-07-06
159,42,Emergency Fund,418222,387347,2028-05-16
160,201,Vacation,317828,43249,2027-11-17
161,332,Emergency Fund,155053,76560,2027-08-30
162,264,Car Purchase,119948,40255,2028-11-25
163,153,House Down Payment,775184,51031,2027-11-17
164,336,Emergency Fund,283014,58500,2027-03-01
165,268,Vacation,98746,69910,2028-08-04
166,240,Vacation,910377,758026,2027-03-22
167,412,House Down Payment,570060,306807,2028-07-10
168,277,Vacation,152788,32467,2027-12-05
169,400,Vacation,588116,329804,2028-07-09
170,466,Emergency Fund,485169,436059,2026-08-07
171,66,House Down Payment,870040,857015,2028-07-03
172,366,Car Purchase,710888,148631,2028-01-31
173,456,Vacation,183122,156465,2028-11-02
174,224,House Down Payment,826926,726730,2028-02-19
175,239,Car Purchase,133568,28162,2028-06-23
176,336,Vacation,792513,90639,2027-04-20
177,322,Car Purchase,397771,123414,2027-10-16
178,408,House Down Payment,759490,188656,2029-06-13
179,305,Vacation,266481,51041,2026-12-29
180,247,House Down Payment,250309,105323,2027-12-22
181,86,Car Purchase,750523,325918,2028-08-20
182,20,Car Purchase,816912,641002,2026-11-18
183,250,Emergency Fund,465941,322500,2028-05-05
184,233,Vacation,421866,61943,2026-10-30
185,242,Vacation,611400,192498,2028-12-23
186,343,House Down Payment,717798,448057,2029-01-16
187,214,House Down Payment,595100,268700,2028-09-20
188,291,Car Purchase,456982,119408,2028-08-20
189,274,Emergency Fund,394726,382739,2028-10-13
190,434,Car Purchase,294481,193229,2029-02-16
191,302,Vacation,309363,113113,2028-11-07
192,386,Emergency Fund,524548,515257,2026-12-07
193,220,Emergency Fund,170106,13909,2028-07-26
194,401,Emergency Fund,574722,399656,2028-09-17
195,418,House Down Payment,335616,157066,2027-04-25
196,445,House Down Payment,449455,265004,2028-05-06
197,437,Emergency Fund,85314,62438,2029-03-03
198,361,House Down Payment,578289,22390,2027-08-18
199,451,Vacation,643380,594827,2026-09-15
200,150,Car Purchase,311323,281835,2029-04-03
201,78,House Down Payment,474612,20634,2027-12-16
202,432,Car Purchase,100486,45251,2029-06-01
203,84,Car Purchase,324607,229685,2028-07-08
204,323,Emergency Fund,788096,294306,2028-01-26
205,106,Vacation,169057,23130,2027-05-03
206,250,Car Purchase,270858,229847,2029-01-12
207,281,House Down Payment,631155,476874,2027-08-06
208,270,Vacation,160372,16397,2029-05-17
209,352,Emergency Fund,293876,28950,2029-02-10
210,458,House Down Payment,669041,12826,2026-08-24
211,156,Vacation,933857,29237,2028-10-01
212,59,Vacation,656820,441555,2027-01-20
213,453,Vacation,618035,382463,2027-01-03
214,99,Vacation,315168,282049,2029-07-06
215,245,Car Purchase,777526,252896,2029-03-24
216,467,Vacation,852471,370055,2028-04-12
217,214,Car Purchase,994564,591586,2026-08-06
218,398,Vacation,443755,421257,2027-12-22
219,42,Emergency Fund,721523,537635,2027-06-24
220,206,Emergency Fund,675584,286044,2028-10-20
221,343,House Down Payment,345696,115612,2026-07-19
222,289,House Down Payment,988281,841077,2026-08-04
223,454,Car Purchase,731681,318762,2028-06-28
224,260,House Down Payment,661028,374628,2029-04-27
225,208,Emergency Fund,524804,496631,2029-04-21
226,446,House Down Payment,888065,593985,2029-02-03
227,144,Car Purchase,463860,45049,2028-02-07
228,72,Emergency Fund,95675,42709,2029-03-15
229,422,Vacation,716988,45585,2029-01-18
230,180,House Down Payment,973800,775452,2027-03-02
231,466,House Down Payment,878125,109283,2028-01-12
232,163,Vacation,50962,37356,2028-09-19
233,30,Car Purchase,50579,11170,2027-01-30
234,495,House Down Payment,583049,450833,2028-12-23
235,422,House Down Payment,147745,98744,2028-04-12
236,283,Vacation,999465,610766,2028-02-05
237,34,Emergency Fund,927514,568157,2029-06-26
238,193,House Down Payment,963258,688576,2027-04-13
239,266,Car Purchase,609856,326184,2029-06-23
240,50,Vacation,441235,212040,2028-10-05
241,255,House Down Payment,643368,596026,2027-11-07
242,86,Vacation,820159,151859,2029-02-23
243,190,Emergency Fund,294221,221109,2028-11-21
244,472,Vacation,303000,116081,2027-01-27
245,473,Vacation,252813,75773,2026-08-27
246,464,Vacation,265012,233865,2028-11-16
247,57,House Down Payment,586221,548731,2029-06-06
248,459,Emergency Fund,356252,175071,2029-01-21
249,448,Car Purchase,580429,349698,2026-09-29
250,455,Vacation,83639,63217,2026-10-15
251,3,Emergency Fund,876349,420354,2026-09-28
252,205,House Down Payment,993022,506219,2027-01-24
253,16,Car Purchase,946811,66688,2027-03-06
254,116,House Down Payment,789084,695903,2029-03-16
255,63,Car Purchase,232062,25399,2027-01-17
256,365,Car Purchase,512741,501623,2027-08-25
257,66,Vacation,910161,870481,2027-08-15
258,5,House Down Payment,835048,539163,2027-12-27
259,198,Car Purchase,78427,47057,2029-01-01
260,88,Vacation,602779,144868,2027-05-04
261,133,House Down Payment,753063,303379,2028-09-26
262,352,House Down Payment,322549,225036,2028-05-31
263,495,House Down Payment,378234,345706,2027-03-11
264,384,House Down Payment,535573,105877,2029-02-28
265,383,Car Purchase,150342,123796,2027-05-21
266,455,Vacation,816649,685762,2027-05-31
267,352,Emergency Fund,696572,390661,2026-12-29
268,233,Vacation,267686,29824,2029-01-22
269,168,Vacation,786596,620429,2029-03-08
270,359,Vacation,543689,37413,2027-09-01
271,106,Emergency Fund,100906,15231,2028-09-13
272,343,House Down Payment,294876,268729,2027-09-09
273,349,House Down Payment,699614,165215,2029-04-24
274,394,Car Purchase,326922,104767,2028-06-03
275,260,Car Purchase,430377,165684,2027-02-15
276,130,House Down Payment,881897,215087,2028-02-16
277,401,Emergency Fund,490789,451019,2029-03-12
278,94,House Down Payment,234625,38750,2028-12-25
279,239,Vacation,555821,42248,2028-09-12
280,311,House Down Payment,602175,548572,2028-02-27
281,273,Vacation,361755,42575,2026-10-23
282,149,Emergency Fund,236347,218335,2027-04-13
283,34,Emergency Fund,385189,84019,2029-01-17
284,19,Emergency Fund,538408,126134,2026-08-25
285,331,Emergency Fund,816374,609134,2028-07-08
286,233,Emergency Fund,533359,411025,2026-09-16
287,26,House Down Payment,519826,138594,2026-12-01
288,302,Car Purchase,187584,104989,2027-11-08
289,183,Emergency Fund,856524,70364,2026-08-30
290,161,Car Purchase,509592,286482,2027-08-01
291,474,Emergency Fund,88880,19115,2027-09-28
292,23,Car Purchase,731613,623465,2027-02-18
293,433,Emergency Fund,610120,541163,2027-11-14
294,394,House Down Payment,782654,344252,2028-12-11
295,37,House Down Payment,516639,188260,2027-04-14
296,108,Vacation,765595,84646,2027-04-13
297,353,Car Purchase,822361,764556,2029-05-24
298,177,Car Purchase,805719,367752,2027-04-14
299,136,Car Purchase,693465,533733,2027-04-22
300,218,Vacation,661064,15382,2027-06-16
301,184,Emergency Fund,141357,124337,2026-10-17
302,38,House Down Payment,559023,150709,2027-01-26
303,197,Car Purchase,338985,131687,2028-07-05
304,419,Vacation,165915,17282,2028-08-12
305,126,Emergency Fund,615284,474199,2027-01-16
306,154,Emergency Fund,168841,121908,2027-01-16
307,56,Vacation,473136,381448,2027-02-13
308,85,Vacation,974687,654847,2028-12-22
309,444,Emergency Fund,447155,348696,2026-11-10
310,446,Vacation,133518,22205,2027-08-12
311,464,Car Purchase,835997,352980,2027-06-07
312,73,Car Purchase,595991,156802,2027-04-16
313,105,Emergency Fund,669203,613554,2027-08-02
314,239,House Down Payment,992300,550146,2027-01-12
315,70,House Down Payment,105305,78653,2028-12-12
316,23,Car Purchase,860574,137053,2029-05-13
317,276,House Down Payment,810706,36888,2027-07-11
318,138,Emergency Fund,57908,45342,2027-08-12
319,149,Car Purchase,151539,33269,2026-09-17
320,151,Vacation,288422,15681,2026-10-11
321,488,House Down Payment,84652,19637,2029-03-10
322,248,House Down Payment,131825,123808,2027-02-10
323,193,Emergency Fund,973371,189916,2027-03-19
324,357,Emergency Fund,677236,326270,2028-07-22
325,213,Car Purchase,618480,523816,2029-04-10
326,177,Car Purchase,774630,186777,2028-08-24
327,251,Car Purchase,945623,84465,2028-08-31
328,88,Emergency Fund,749369,45280,2028-07-06
329,45,House Down Payment,467610,156251,2028-09-28
330,46,Vacation,370922,112745,2029-01-19
331,186,Emergency Fund,245822,57302,2026-10-08
332,21,Emergency Fund,464657,117313,2026-07-19
333,141,Vacation,214500,126621,2026-12-26
334,222,Emergency Fund,216095,153535,2028-05-12
335,68,Car Purchase,165584,119031,2028-07-14
336,312,Vacation,212090,102005,2028-05-10
337,69,Car Purchase,976373,90076,2029-01-09
338,7,Car Purchase,162331,51930,2028-07-03
339,343,Vacation,269656,210943,2028-01-23
340,436,Car Purchase,155352,84737,2027-02-24
341,47,Emergency Fund,137889,104972,2027-12-05
342,442,Emergency Fund,994196,221006,2028-04-27
343,155,Car Purchase,108725,10856,2027-11-14
344,92,Car Purchase,518246,259537,2027-05-10
345,190,Vacation,586506,298671,2026-10-04
346,157,Car Purchase,320018,194843,2027-07-16
347,251,House Down Payment,875343,717372,2028-04-07
348,272,Vacation,128539,90487,2029-03-12
349,497,Emergency Fund,336900,82597,2028-08-27
350,80,Car Purchase,684808,252778,2026-08-20
351,427,Vacation,225940,76957,2028-12-30
352,265,House Down Payment,830369,594560,2027-11-09
353,389,Car Purchase,50332,13521,2028-12-15
354,119,Vacation,570627,259781,2028-05-27
355,48,Vacation,245683,88800,2027-03-08
356,270,Emergency Fund,397554,114343,2028-08-20
357,162,Vacation,618658,529117,2028-02-25
358,283,House Down Payment,436158,350583,2029-06-14
359,321,Car Purchase,489814,67598,2027-02-20
360,43,House Down Payment,268554,185815,2026-08-22
361,20,Vacation,917003,103292,2029-03-16
362,323,House Down Payment,964555,654367,2028-12-17
363,92,Car Purchase,458102,114810,2027-12-15
364,66,Vacation,282795,259599,2028-10-15
365,434,House Down Payment,482011,171319,2028-07-01
366,370,Vacation,435520,150534,2029-04-23
367,182,Car Purchase,761691,87878,2028-10-09
368,283,House Down Payment,810834,206439,2026-12-27
369,29,Car Purchase,125037,101411,2026-09-09
370,498,Vacation,461864,119427,2028-07-12
371,139,House Down Payment,792284,565756,2027-06-08
372,452,Emergency Fund,202151,31696,2028-06-23
373,417,Vacation,721950,172749,2027-01-06
374,294,Vacation,904580,785128,2029-05-15
375,225,Car Purchase,194416,161120,2028-03-12
376,403,Car Purchase,905042,779775,2029-02-02
377,223,House Down Payment,431728,168416,2027-11-29
378,346,Car Purchase,115489,17351,2028-05-23
379,409,Emergency Fund,111096,55357,2028-05-24
380,428,Car Purchase,214415,45217,2027-09-12
381,118,Emergency Fund,677432,235446,2029-07-05
382,463,Emergency Fund,749184,19285,2028-12-30
383,72,Emergency Fund,617002,221774,2026-09-04
384,357,Emergency Fund,838334,47413,2027-02-15
385,67,Car Purchase,724718,459065,2026-11-09
386,286,Emergency Fund,145490,88486,2029-04-09
387,110,Emergency Fund,295126,281700,2026-10-15
388,176,Car Purchase,714065,101785,2027-04-23
389,166,Vacation,816130,91047,2029-02-26
390,419,Emergency Fund,443690,96273,2028-12-02
391,429,House Down Payment,98068,86140,2028-04-11
392,397,House Down Payment,323370,228147,2026-07-19
393,482,Emergency Fund,624876,143285,2029-04-10
394,97,Emergency Fund,749715,347039,2029-06-11
395,48,Car Purchase,329345,270345,2027-10-24
396,263,Car Purchase,243204,74175,2027-11-21
397,443,Emergency Fund,568193,342861,2029-02-08
398,112,Emergency Fund,759931,759501,2028-02-06
399,7,Vacation,520495,397901,2027-12-27
400,399,Emergency Fund,455757,342055,2028-06-30
401,84,Emergency Fund,736802,144713,2028-10-27
402,41,Car Purchase,236683,16872,2027-08-07
403,301,House Down Payment,642113,207871,2029-07-13
404,170,Emergency Fund,804878,684151,2028-08-22
405,42,Vacation,852481,817245,2028-11-27
406,371,Vacation,982629,274154,2028-12-23
407,162,Emergency Fund,855968,188751,2027-03-10
408,466,Car Purchase,218874,211317,2028-10-10
409,245,Car Purchase,578144,318358,2027-02-20
410,415,Emergency Fund,384457,97232,2028-09-10
411,111,Car Purchase,833366,457819,2028-05-15
412,49,Emergency Fund,999836,823927,2027-11-17
413,265,House Down Payment,749014,717338,2028-09-08
414,204,Car Purchase,880967,52696,2027-06-29
415,353,Vacation,769590,601925,2027-05-13
416,487,Vacation,510829,200509,2026-12-20
417,384,House Down Payment,406779,314358,2027-11-03
418,210,Emergency Fund,755118,505937,2029-05-27
419,381,House Down Payment,831258,612366,2027-12-18
420,487,House Down Payment,841783,110359,2027-05-03
421,210,Car Purchase,150551,11216,2028-08-04
422,320,Vacation,562754,458388,2029-04-02
423,94,Emergency Fund,93244,89506,2029-01-25
424,227,Emergency Fund,59952,32234,2026-08-21
425,317,Car Purchase,820757,264130,2027-12-07
426,425,House Down Payment,331298,110349,2028-07-02
427,333,House Down Payment,470123,162431,2026-11-18
428,153,Car Purchase,417526,14330,2029-02-19
429,491,House Down Payment,937138,398806,2028-08-01
430,26,Car Purchase,407817,46796,2029-03-13
431,76,Vacation,725296,20407,2027-11-03
432,394,House Down Payment,482556,210000,2029-05-08
433,140,Car Purchase,548952,139784,2028-04-16
434,321,House Down Payment,302316,125520,2028-05-11
435,307,Emergency Fund,463982,326108,2027-02-11
436,455,House Down Payment,741104,305434,2028-08-28
437,350,Vacation,400215,315662,2026-07-20
438,324,House Down Payment,89689,58860,2028-03-22
439,434,Vacation,735630,111892,2027-07-24
440,85,Vacation,580877,398303,2028-02-13
441,242,Vacation,814007,756292,2028-12-02
442,106,Emergency Fund,325460,176863,2027-03-26
443,279,Vacation,957133,243499,2027-02-18
444,419,Car Purchase,985206,123525,2026-11-02
445,192,Emergency Fund,452442,429100,2027-09-29
446,6,House Down Payment,275199,24858,2026-07-31
447,457,House Down Payment,851972,801505,2027-04-30
448,60,Vacation,284049,64743,2027-11-17
449,291,Emergency Fund,648842,483945,2028-04-01
450,219,Car Purchase,758220,267593,2027-03-23
451,413,Emergency Fund,685662,193545,2026-08-09
452,341,House Down Payment,425294,373481,2028-05-09
453,458,Emergency Fund,573657,553639,2026-08-28
454,466,Emergency Fund,494211,265147,2028-10-17
455,256,Vacation,584633,498366,2028-06-11
456,196,Vacation,217755,130130,2027-12-24
457,7,Car Purchase,192655,127113,2028-04-28
458,393,Vacation,831541,643447,2027-06-28
459,499,Emergency Fund,947505,193538,2027-10-08
460,116,Car Purchase,552213,549609,2027-04-19
461,487,House Down Payment,202538,181153,2026-08-19
462,145,Emergency Fund,930819,461935,2027-10-21
463,27,Emergency Fund,858948,608504,2027-12-14
464,186,House Down Payment,639874,586915,2029-06-02
465,184,Car Purchase,894348,194430,2028-03-18
466,426,Emergency Fund,866316,471058,2027-07-25
467,290,House Down Payment,780926,744106,2027-10-07
468,102,Emergency Fund,927753,414476,2027-05-01
469,453,Vacation,243002,156257,2027-05-14
470,82,Vacation,799206,375496,2028-10-09
471,89,Vacation,509241,386914,2027-06-29
472,286,Emergency Fund,715210,25301,2027-10-19
473,442,Emergency Fund,831171,162655,2027-06-22
474,490,Vacation,240021,67401,2029-05-04
475,139,Emergency Fund,857323,718104,2027-11-01
476,271,Vacation,888185,132955,2027-03-12
477,491,House Down Payment,277882,106229,2027-09-06
478,360,Emergency Fund,288001,246353,2028-09-10
479,318,Vacation,994279,921058,2028-08-16
480,246,Vacation,818242,558466,2026-10-13
481,416,House Down Payment,869768,187178,2028-12-14
482,200,Emergency Fund,388264,39958,2027-11-01
483,168,Vacation,838419,563266,2027-12-05
484,371,Vacation,537785,495488,2028-04-22
485,89,Vacation,547103,195144,2026-12-27
486,429,Car Purchase,278162,126557,2027-01-04
487,341,Car Purchase,218465,215633,2027-06-20
488,314,Vacation,330246,98925,2027-10-14
489,74,House Down Payment,766095,670957,2029-03-16
490,310,Vacation,835250,409191,2027-09-05
491,483,Vacation,612417,274528,2027-12-30
492,289,Vacation,64537,37967,2027-03-20
493,45,House Down Payment,711061,444026,2027-12-21
494,404,Car Purchase,368141,268994,2027-07-24
495,457,Car Purchase,998122,456683,2029-04-11
496,84,Vacation,61248,21189,2027-10-17
497,11,Emergency Fund,190631,177565,2028-08-07
498,390,House Down Payment,678229,65375,2029-05-05
499,43,House Down Payment,498233,162900,2027-05-16
500,63,Car Purchase,643185,394032,2027-11-16
501,36,Emergency Fund,152693,76536,2026-08-06
502,259,Emergency Fund,342539,180765,2026-09-15
503,134,Car Purchase,81599,79878,2028-04-21
504,129,Vacation,168923,31922,2027-10-21
505,421,Car Purchase,959558,958271,2027-08-25
506,187,House Down Payment,69151,29292,2027-09-03
507,383,Emergency Fund,214856,89945,2028-10-21
508,138,Vacation,74049,55833,2028-06-03
509,298,Car Purchase,200401,39371,2026-10-02
510,181,Car Purchase,758704,726251,2027-04-08
511,228,House Down Payment,725257,719337,2027-09-08
512,383,Car Purchase,445210,405814,2027-08-02
513,186,House Down Payment,611956,305834,2028-09-21
514,168,House Down Payment,551193,266097,2028-11-22
515,138,House Down Payment,129831,44539,2026-09-16
516,445,Vacation,837492,832774,2028-05-26
517,9,House Down Payment,249425,75342,2028-01-08
518,218,Vacation,446701,419957,2029-01-24
519,491,Emergency Fund,359906,90766,2028-10-03
520,478,House Down Payment,588231,160853,2027-10-26
521,301,House Down Payment,559586,85672,2027-05-06
522,191,Car Purchase,865688,466710,2029-05-12
523,439,Car Purchase,547984,360050,2028-11-20
524,91,House Down Payment,578629,68164,2027-02-14
525,375,Emergency Fund,696413,479820,2027-06-05
526,303,Vacation,446726,297192,2029-06-24
527,280,House Down Payment,911325,401252,2027-05-16
528,36,Emergency Fund,676712,512581,2026-07-29
529,103,Emergency Fund,161738,141038,2026-10-14
530,296,Vacation,583844,110599,2027-11-09
531,285,Vacation,732235,642777,2029-05-29
532,366,Car Purchase,680253,593969,2029-06-15
533,97,Emergency Fund,793605,435468,2029-02-05
534,390,Car Purchase,403880,58935,2028-09-05
535,298,Emergency Fund,671410,496259,2027-10-12
536,178,Car Purchase,825045,198939,2029-03-05
537,116,Emergency Fund,592727,248905,2029-01-11
538,33,House Down Payment,291094,118766,2029-05-09
539,300,Vacation,523348,426217,2028-10-12
540,299,Emergency Fund,290438,42430,2029-04-06
541,247,Vacation,373973,318775,2027-12-20
542,498,Emergency Fund,138269,77301,2028-05-27
543,152,Vacation,865468,730574,2028-04-12
544,310,Emergency Fund,187763,33566,2029-04-24
545,295,House Down Payment,178149,100950,2029-07-02
546,438,Emergency Fund,915933,428645,2027-07-12
547,361,House Down Payment,918435,325140,2028-11-21
548,435,Emergency Fund,273783,10780,2029-04-12
549,201,House Down Payment,594144,19259,2027-05-11
550,459,Vacation,678450,291923,2028-12-31
551,107,Emergency Fund,837447,589774,2026-12-26
552,70,Vacation,596010,247480,2028-08-31
553,315,Emergency Fund,910052,869949,2027-12-22
554,237,Car Purchase,313524,112638,2028-02-13
555,392,Vacation,936736,70452,2029-05-21
556,316,Car Purchase,300753,157469,2027-11-15
557,218,Car Purchase,675239,274200,2028-08-30
558,179,Vacation,62665,54127,2029-06-22
559,125,House Down Payment,628510,163729,2027-11-06
560,150,Vacation,391152,254068,2028-04-07
561,210,Vacation,713525,590495,2028-10-03
562,500,House Down Payment,690068,475310,2028-05-30
563,434,House Down Payment,652253,251347,2027-01-27
564,31,Vacation,461261,41532,2028-12-13
565,65,Vacation,155687,79228,2028-09-28
566,353,House Down Payment,450659,322774,2029-07-11
567,441,House Down Payment,799732,737001,2028-02-10
568,391,Vacation,142659,12873,2026-09-05
569,115,House Down Payment,381158,374525,2028-02-03
570,109,Car Purchase,749987,215280,2028-02-24
571,19,House Down Payment,799080,513343,2027-10-10
572,63,House Down Payment,462371,227901,2027-11-23
573,491,Vacation,583801,570593,2029-01-02
574,477,House Down Payment,844055,788655,2027-05-12
575,370,Emergency Fund,98556,73783,2026-08-06
576,344,Car Purchase,793556,53339,2028-06-24
577,342,Car Purchase,357013,181653,2028-09-14
578,493,Vacation,93187,34697,2029-06-17
579,408,Car Purchase,108068,67451,2027-05-09
580,9,Vacation,780323,470605,2026-09-11
581,23,Emergency Fund,581897,423531,2026-11-16
582,100,Emergency Fund,298288,227614,2027-04-26
583,96,Car Purchase,618214,70493,2027-11-05
584,472,House Down Payment,413367,342877,2028-07-07
585,18,Vacation,777104,438224,2027-06-10
586,262,Emergency Fund,468706,244683,2029-05-11
587,389,Vacation,244448,162612,2028-09-26
588,489,Car Purchase,598746,192340,2028-10-20
