account_id,user_id,bank_name,account_type,opening_balance,current_balance
250,132,Punjab National Bank,Current,99879,97892
251,132,Canara Bank,Savings,23155,4215
252,133,Axis Bank,Current,32716,27527
253,134,Axis Bank,Savings,89742,100461
254,134,Canara Bank,Savings,88000,68433
255,135,Punjab National Bank,Current,6127,29648
256,136,Axis Bank,Current,55223,101582
257,136,Kotak Mahindra,Current,61034,46333
258,137,Axis Bank,Savings,87473,133202
259,137,Axis Bank,Current,60493,53791
260,138,ICICI,Current,62175,73730
261,138,Punjab National Bank,Savings,56797,37908
262,138,ICICI,Savings,76130,62342
263,139,Axis Bank,Current,46227,50788
264,139,SBI,Savings,31994,21349
265,139,Kotak Mahindra,Current,83372,124864
266,140,ICICI,Current,23326,35246
267,140,HDFC,Savings,35935,73208
268,140,SBI,Current,85443,122312
269,141,Canara Bank,Savings,99228,85213
270,141,Kotak Mahindra,Savings,95258,79853
271,142,SBI,Savings,47389,85770
272,142,SBI,Savings,77456,115003
273,143,Punjab National Bank,Savings,32507,61875
274,144,Kotak Mahindra,Current,54196,101323
275,144,Canara Bank,Savings,73552,74371
276,144,SBI,Current,48555,39432
277,145,Punjab National Bank,Savings,73191,105487
278,145,Axis Bank,Current,57335,102457
279,146,ICICI,Current,31545,33966
280,146,HDFC,Savings,40553,74685
281,146,SBI,Savings,6053,11812
282,147,Axis Bank,Current,35288,60863
283,148,HDFC,Savings,65120,85759
284,148,Axis Bank,Current,60539,98425
285,148,Kotak Mahindra,Savings,89811,80157
286,149,Punjab National Bank,Savings,56531,99889
287,149,SBI,Current,96542,97362
288,150,Kotak Mahindra,Current,54514,58994
289,150,Canara Bank,Current,96958,113968
290,150,Canara Bank,Savings,70525,102502
291,151,SBI,Savings,22621,43436
292,151,HDFC,Savings,22690,60404
293,151,Axis Bank,Savings,99798,122127
294,152,Punjab National Bank,Savings,87456,96496
295,153,Kotak Mahindra,Savings,90196,109124
296,154,Axis Bank,Current,32342,67328
297,155,Kotak Mahindra,Savings,43588,34461
298,155,Punjab National Bank,Savings,57844,53915
299,155,ICICI,Current,68627,84729
300,156,Axis Bank,Current,84254,99081
301,156,ICICI,Current,61227,68170
302,156,Canara Bank,Current,18383,51441
303,157,ICICI,Current,84475,86197
304,157,Canara Bank,Savings,63218,78527
305,157,ICICI,Current,65041,112575
306,158,Canara Bank,Savings,16923,48747
307,159,Canara Bank,Current,99778,129044
308,159,Axis Bank,Current,32134,63676
309,160,HDFC,Current,13695,9382
310,160,Punjab National Bank,Current,54119,65064
311,160,SBI,Current,69811,94871
312,161,Canara Bank,Current,74798,100337
313,161,Axis Bank,Savings,5749,0
314,162,Kotak Mahindra,Savings,89761,112471
315,162,Axis Bank,Savings,71235,65531
316,163,HDFC,Current,42684,69456
317,163,SBI,Current,31398,70637
318,164,Axis Bank,Current,60549,75808
319,164,ICICI,Savings,42018,22333
320,165,HDFC,Current,36227,75507
321,165,Canara Bank,Current,81731,89681
322,166,ICICI,Savings,68747,82207
323,166,SBI,Current,10966,60082
324,166,ICICI,Current,76646,87507
325,167,Canara Bank,Savings,50851,94790
326,168,Kotak Mahindra,Savings,33440,74475
327,168,HDFC,Savings,92450,101038
328,169,HDFC,Current,55979,43994
329,169,HDFC,Current,41590,87675
330,169,Canara Bank,Savings,99107,81591
331,170,ICICI,Current,46602,66174
332,170,HDFC,Current,69844,119593
333,171,Kotak Mahindra,Current,23211,14885
334,172,ICICI,Savings,14855,24388
335,172,Axis Bank,Savings,16511,30468
336,173,SBI,Current,85072,85533
337,173,Kotak Mahindra,Savings,81964,74894
338,174,ICICI,Current,8711,0
339,174,Kotak Mahindra,Current,43199,53397
340,175,Punjab National Bank,Savings,23106,48706
341,175,Axis Bank,Savings,94218,143347
342,176,SBI,Savings,36832,54536
343,177,Canara Bank,Savings,53636,86884
344,177,ICICI,Current,13586,11566
345,177,Punjab National Bank,Current,33115,33821
346,178,Kotak Mahindra,Current,35944,22025
347,179,HDFC,Current,25296,44778
348,180,Punjab National Bank,Current,87059,95843
349,180,Axis Bank,Current,99811,143501
350,181,HDFC,Current,27355,39029
351,182,SBI,Savings,84793,105503
352,182,Axis Bank,Current,38556,80334
353,183,HDFC,Current,9342,40896
354,183,ICICI,Savings,12699,23468
355,183,Punjab National Bank,Savings,97649,120140
356,184,Canara Bank,Savings,22423,63991
357,184,HDFC,Savings,58801,68531
358,184,Punjab National Bank,Savings,96430,93235
359,185,HDFC,Savings,43943,58266
360,186,Canara Bank,Savings,98314,91677
361,187,Canara Bank,Current,19597,63721
362,187,Canara Bank,Savings,60725,47156
363,187,Canara Bank,Current,69684,96800
364,188,Punjab National Bank,Savings,16124,47521
365,189,Axis Bank,Savings,28250,70098
366,190,HDFC,Current,48693,58780
367,191,SBI,Savings,26724,57807
368,191,SBI,Savings,39192,63289
369,191,HDFC,Savings,48020,33044
370,192,HDFC,Savings,86630,90426
371,192,SBI,Current,35004,50648
372,192,Kotak Mahindra,Savings,51565,65084
373,193,Axis Bank,Current,60978,93143
374,194,Canara Bank,Current,92636,87034
375,194,ICICI,Savings,91896,104074
376,195,HDFC,Savings,24809,7463
377,195,Punjab National Bank,Savings,6116,52091
378,196,Kotak Mahindra,Savings,89119,71625
379,196,HDFC,Savings,92837,104850
380,196,Kotak Mahindra,Current,87907,102746
381,197,SBI,Current,86244,89251
382,197,SBI,Current,70522,61862
383,197,ICICI,Savings,36850,79516
384,198,Axis Bank,Savings,63603,89044
385,198,SBI,Current,95162,122250
386,198,HDFC,Current,26827,45954
387,199,Canara Bank,Current,85616,83369
388,200,Axis Bank,Current,89776,107362
389,201,HDFC,Savings,47458,81732
390,201,Kotak Mahindra,Savings,53111,40682
391,202,HDFC,Current,40846,64133
392,202,Punjab National Bank,Current,47028,72877
393,203,Canara Bank,Current,77773,117452
394,203,Kotak Mahindra,Current,47991,60752
395,204,ICICI,Current,63494,77341
396,204,Punjab National Bank,Current,8319,49942
397,204,Punjab National Bank,Current,96611,137410
398,205,ICICI,Savings,52562,99124
399,205,ICICI,Current,47850,30928
400,206,SBI,Current,58551,43774
401,206,Canara Bank,Current,15053,44221
402,207,SBI,Savings,33316,72711
403,207,ICICI,Current,52615,88258
404,207,Canara Bank,Current,28380,76773
405,208,HDFC,Current,5300,48719
406,209,Punjab National Bank,Savings,26345,57019
407,209,Axis Bank,Current,12816,29447
408,209,Punjab National Bank,Savings,59246,103131
409,210,HDFC,Savings,74381,93208
410,210,HDFC,Current,33424,54006
411,210,ICICI,Current,94889,116702
412,211,Axis Bank,Savings,62016,83739
413,211,ICICI,Savings,11831,53842
414,211,SBI,Current,11671,2106
415,212,HDFC,Current,16288,3666
416,212,HDFC,Current,85460,108203
417,213,Axis Bank,Current,25634,40680
418,213,Canara Bank,Savings,74828,77905
419,214,Punjab National Bank,Savings,92764,114697
420,214,HDFC,Savings,81680,113036
421,214,Kotak Mahindra,Current,20062,57653
422,215,HDFC,Current,59562,51024
423,215,ICICI,Current,35291,34175
424,216,Axis Bank,Savings,10856,44552
425,216,Punjab National Bank,Savings,98765,88713
426,216,Punjab National Bank,Savings,13386,10088
427,217,Canara Bank,Current,74679,79359
428,218,Kotak Mahindra,Savings,59424,50249
429,219,Kotak Mahindra,Current,25158,64984
430,219,SBI,Savings,92988,113771
431,219,Kotak Mahindra,Current,8313,25702
432,220,Kotak Mahindra,Current,43942,33023
433,220,ICICI,Current,37533,35799
434,221,SBI,Current,80357,103249
435,222,ICICI,Savings,28575,60135
436,222,HDFC,Savings,12601,0
437,223,Axis Bank,Savings,78586,67541
438,224,SBI,Savings,88587,121304
439,225,Axis Bank,Savings,87357,102994
440,225,Punjab National Bank,Current,13171,62623
441,226,Punjab National Bank,Current,53602,86514
442,227,Canara Bank,Savings,12475,48664
443,228,HDFC,Current,30648,41598
444,229,ICICI,Current,73526,80347
445,230,HDFC,Savings,85936,103176
446,231,Kotak Mahindra,Current,94059,116291
447,231,Canara Bank,Current,47250,38216
448,231,ICICI,Current,66945,66674
449,232,HDFC,Current,72322,87013
450,233,ICICI,Current,41520,27295
451,234,Canara Bank,Savings,46398,70267
452,234,Punjab National Bank,Current,84800,80187
453,235,Kotak Mahindra,Current,55585,101225
454,235,HDFC,Current,53957,89012
455,236,Punjab National Bank,Savings,77582,84160
456,237,HDFC,Current,89616,128566
457,238,Axis Bank,Current,81329,114694
458,239,SBI,Current,77190,113466
459,240,HDFC,Savings,53922,74241
460,240,Punjab National Bank,Current,32848,17520
461,241,Punjab National Bank,Current,46174,70656
462,241,SBI,Current,12451,48111
463,242,ICICI,Current,73338,122807
464,242,SBI,Current,72014,103503
465,243,ICICI,Savings,46164,63369
466,244,Canara Bank,Savings,28140,15922
467,245,HDFC,Current,26863,44161
468,245,HDFC,Current,42699,47098
469,246,Axis Bank,Savings,7649,45026
470,246,Punjab National Bank,Savings,69922,66336
471,247,SBI,Current,31608,26941
472,247,Axis Bank,Savings,55452,66727
473,248,Canara Bank,Current,92637,75272
474,248,ICICI,Savings,34723,69467
475,249,HDFC,Current,88226,120508
476,249,SBI,Savings,85524,120255
477,250,Punjab National Bank,Savings,66068,61263
478,251,HDFC,Current,18644,24771
479,251,Canara Bank,Savings,61166,49420
480,251,HDFC,Savings,30524,38213
481,252,Punjab National Bank,Savings,80394,121571
482,252,Punjab National Bank,Current,50224,77786
483,253,Kotak Mahindra,Savings,62643,79060
484,254,Canara Bank,Current,75174,121799
485,254,SBI,Current,34875,17464
486,255,ICICI,Savings,37066,17912
487,256,Kotak Mahindra,Savings,70404,120293
488,257,ICICI,Savings,65820,100694
489,257,Punjab National Bank,Savings,43616,50546
490,257,SBI,Savings,17280,26830
491,258,SBI,Savings,51942,32005
492,258,Axis Bank,Savings,98582,92065
493,259,Kotak Mahindra,Savings,77875,79605
494,259,ICICI,Savings,73127,62249
495,259,HDFC,Current,73120,89128
496,260,Canara Bank,Savings,32307,27623
497,260,Punjab National Bank,Savings,19566,16703
498,260,HDFC,Current,19629,53287
499,261,HDFC,Current,88418,78691
500,261,Axis Bank,Current,49468,81920
501,262,SBI,Current,76312,76492
502,262,Kotak Mahindra,Savings,45714,59070
503,262,Canara Bank,Current,17380,1111
504,263,Axis Bank,Current,48994,73154
505,264,Axis Bank,Current,73110,112492
506,264,ICICI,Current,30304,79709
507,264,ICICI,Savings,81389,117813
508,265,SBI,Current,78397,68552
509,266,Axis Bank,Savings,17555,31381
510,267,Punjab National Bank,Savings,80874,76680
511,267,SBI,Savings,45871,26023
512,267,Punjab National Bank,Savings,71553,59455
513,268,SBI,Savings,60949,96330
514,269,Kotak Mahindra,Savings,41714,46491
515,269,Kotak Mahindra,Savings,16919,12837
516,269,Kotak Mahindra,Savings,82788,121830
517,270,Kotak Mahindra,Current,40995,90329
518,270,SBI,Current,43759,80993
519,270,Kotak Mahindra,Current,81392,82074
520,271,SBI,Savings,49824,85445
521,271,SBI,Current,68922,88897
522,272,SBI,Current,49839,55377
523,272,Axis Bank,Savings,82292,132067
524,273,ICICI,Savings,96554,84426
525,273,HDFC,Savings,87550,107587
526,273,Punjab National Bank,Savings,31957,44615
527,274,Punjab National Bank,Savings,57563,97879
528,275,ICICI,Current,21724,10608
529,275,HDFC,Current,27003,76776
530,275,Canara Bank,Current,31670,56042
531,276,Punjab National Bank,Current,58649,101843
532,277,Punjab National Bank,Current,62419,96400
533,277,HDFC,Savings,83508,111372
534,278,ICICI,Savings,25781,52712
535,279,Punjab National Bank,Current,37190,54236
536,279,Kotak Mahindra,Current,91339,116979
537,279,ICICI,Current,69883,54621
538,280,HDFC,Savings,20217,53094
539,280,HDFC,Savings,91898,129646
540,281,HDFC,Savings,28240,14077
541,282,Canara Bank,Savings,38954,81111
542,282,Punjab National Bank,Savings,47392,89180
543,282,ICICI,Current,91789,111699
544,283,Punjab National Bank,Savings,67123,70002
545,283,SBI,Savings,60983,53524
546,284,HDFC,Current,41367,82907
547,284,Canara Bank,Savings,61766,85306
548,284,Kotak Mahindra,Current,99835,111422
549,285,Kotak Mahindra,Savings,18155,29093
550,285,SBI,Current,83646,114342
551,285,SBI,Current,18500,45089
552,286,Canara Bank,Savings,89720,125086
553,287,HDFC,Current,11527,26983
554,287,Axis Bank,Current,34069,59912
555,288,Axis Bank,Current,5291,38961
556,288,SBI,Current,53112,38645
557,289,HDFC,Current,53039,33469
558,290,Kotak Mahindra,Current,97270,80510
559,291,Axis Bank,Savings,96496,111994
560,291,Axis Bank,Savings,80007,108412
561,292,Kotak Mahindra,Savings,95520,125942
562,292,Punjab National Bank,Savings,71916,121242
563,292,HDFC,Current,47036,74595
564,293,SBI,Current,71189,87501
565,293,Punjab National Bank,Current,48856,44370
566,294,Canara Bank,Current,44274,76531
567,294,Axis Bank,Current,35388,77386
568,295,Axis Bank,Current,40593,45657
569,295,HDFC,Current,53452,100905
570,296,SBI,Savings,78258,63265
571,297,HDFC,Current,41500,74792
572,298,Axis Bank,Savings,44423,34190
573,299,Kotak Mahindra,Savings,92111,110483
574,300,Punjab National Bank,Current,77554,93546
575,301,Punjab National Bank,Current,68287,76968
576,301,Punjab National Bank,Savings,80215,93852
577,301,SBI,Current,33329,66304
578,302,Axis Bank,Savings,95586,119127
579,302,Canara Bank,Savings,52878,57614
580,302,Axis Bank,Savings,98731,122997
581,303,Punjab National Bank,Current,67456,75998
582,303,Kotak Mahindra,Savings,9005,18481
583,304,HDFC,Current,45537,64674
584,304,Canara Bank,Savings,65452,81136
585,304,SBI,Current,28995,38815
586,305,SBI,Current,52610,48324
587,306,Axis Bank,Current,89755,76309
588,306,ICICI,Current,20676,794
589,306,HDFC,Current,30291,62608
590,307,Kotak Mahindra,Current,88914,113770
591,308,Kotak Mahindra,Current,52412,90575
592,308,Kotak Mahindra,Current,95183,119924
593,309,SBI,Savings,14054,36705
594,310,Punjab National Bank,Savings,18360,12014
595,310,Axis Bank,Current,12773,19679
596,310,SBI,Savings,35787,33964
597,311,Kotak Mahindra,Current,35239,66219
598,311,Axis Bank,Current,80560,103900
599,312,ICICI,Current,67328,89855
600,313,Axis Bank,Current,39677,81723
601,313,Kotak Mahindra,Current,29892,35150
602,314,Kotak Mahindra,Current,7859,47008
603,315,Punjab National Bank,Current,85521,97346
604,315,Canara Bank,Current,50855,62813
605,315,Kotak Mahindra,Savings,53661,71932
606,316,Kotak Mahindra,Savings,63639,64745
607,317,Canara Bank,Current,5710,54144
608,318,SBI,Savings,93738,111564
609,318,HDFC,Current,64746,112368
610,319,SBI,Current,87359,120148
611,319,Canara Bank,Current,42713,69123
612,319,HDFC,Savings,64649,73966
613,320,Punjab National Bank,Current,47147,30185
614,320,Kotak Mahindra,Savings,64274,75317
615,320,Punjab National Bank,Savings,68193,48287
616,321,Canara Bank,Savings,40347,58600
617,321,Canara Bank,Current,48640,97865
618,321,HDFC,Savings,48537,68164
619,322,Canara Bank,Current,72130,67922
620,322,SBI,Current,80579,103658
621,323,HDFC,Current,86001,133289
622,323,ICICI,Current,21479,32850
623,324,Axis Bank,Current,93605,129239
624,324,Kotak Mahindra,Current,63187,106024
625,325,ICICI,Savings,81511,64020
626,325,Canara Bank,Savings,11197,50598
627,326,Kotak Mahindra,Savings,7126,55354
628,326,Axis Bank,Savings,34731,55597
629,326,Punjab National Bank,Current,18687,33257
630,327,Canara Bank,Current,57050,79485
631,328,Punjab National Bank,Current,66515,103371
632,328,HDFC,Current,41454,64352
633,329,Axis Bank,Current,85781,73641
634,329,Punjab National Bank,Savings,39933,33194
635,330,Punjab National Bank,Current,28598,28743
636,330,Canara Bank,Current,78250,101879
637,330,HDFC,Current,73170,110245
638,331,Canara Bank,Savings,25413,62586
639,332,Axis Bank,Current,85237,87584
640,332,Axis Bank,Savings,64808,65993
641,333,HDFC,Current,28349,16266
642,333,ICICI,Savings,46548,41788
643,333,HDFC,Savings,54957,49932
644,334,Kotak Mahindra,Savings,13698,145
645,335,HDFC,Savings,28671,73565
646,335,ICICI,Current,49446,81119
647,335,Punjab National Bank,Current,90999,108549
648,336,HDFC,Current,72967,73651
649,337,HDFC,Savings,40326,37124
650,337,SBI,Current,42935,66821
651,338,HDFC,Current,62772,48151
652,338,Axis Bank,Current,51911,77123
653,339,SBI,Savings,88398,88797
654,339,Canara Bank,Current,78122,121968
655,339,ICICI,Current,56984,90457
656,340,Kotak Mahindra,Current,66681,69655
657,340,Kotak Mahindra,Savings,48110,81606
658,340,SBI,Current,6310,48530
659,341,Punjab National Bank,Current,48915,50839
660,342,Kotak Mahindra,Savings,92904,139809
661,342,SBI,Current,24462,42497
662,343,ICICI,Savings,65241,65450
663,343,Kotak Mahindra,Current,54021,68308
664,343,Kotak Mahindra,Current,44483,91648
665,344,Axis Bank,Savings,52338,98929
666,344,HDFC,Current,28640,65230
667,344,ICICI,Savings,57732,64538
668,345,ICICI,Current,85152,130339
669,345,Axis Bank,Savings,45141,84476
670,346,Kotak Mahindra,Current,95451,123874
671,346,ICICI,Current,54964,70852
672,346,HDFC,Savings,54954,80899
673,347,ICICI,Savings,5298,0
674,347,Punjab National Bank,Current,9506,0
675,347,Punjab National Bank,Savings,61706,111371
676,348,HDFC,Savings,18497,16935
677,348,Kotak Mahindra,Savings,56003,50812
678,348,Axis Bank,Current,41952,51652
679,349,Axis Bank,Savings,24777,14628
680,349,ICICI,Savings,55954,100071
681,349,SBI,Savings,52227,58509
682,350,Punjab National Bank,Current,43471,70359
683,350,Canara Bank,Current,65094,58585
684,350,Kotak Mahindra,Savings,39495,39446
685,351,Axis Bank,Current,83323,106920
686,351,Punjab National Bank,Current,27183,23483
687,351,HDFC,Savings,88928,98322
688,352,Axis Bank,Savings,12385,44678
689,353,SBI,Savings,22790,53110
