account_id,user_id,bank_name,account_type,opening_balance,current_balance,balance_category
47,25,Punjab National Bank,Current,66504.0,47368.0,Low
48,25,Canara Bank,Current,80477.0,62432.0,Medium
49,25,Hdfc,Savings,43659.0,90473.0,Medium
50,26,Sbi,Current,65171.0,45601.0,Low
51,26,Sbi,Savings,38268.0,34059.0,Low
52,27,Axis Bank,Current,94181.0,107629.0,Medium
53,27,Icici,Savings,28451.0,30227.0,Low
54,28,Sbi,Savings,57445.0,39644.0,Low
55,28,Axis Bank,Current,89875.0,96056.0,Medium
56,29,Canara Bank,Current,85249.0,115670.0,Medium
57,29,Kotak Mahindra,Current,19641.0,43978.0,Low
58,30,Axis Bank,Savings,86230.0,103736.0,Medium
59,31,Axis Bank,Savings,23009.0,45681.0,Low
60,31,Punjab National Bank,Current,48503.0,54721.0,Medium
61,31,Sbi,Current,37392.0,37552.0,Low
62,32,Axis Bank,Savings,59017.0,54346.0,Medium
63,32,Hdfc,Current,19622.0,45536.0,Low
64,32,Hdfc,Savings,58116.0,105715.0,Medium
65,33,Kotak Mahindra,Current,51664.0,83404.0,Medium
66,34,Sbi,Current,77573.0,125096.0,Medium
67,35,Hdfc,Current,44963.0,72410.0,Medium
68,35,Canara Bank,Current,39938.0,73248.0,Medium
69,35,Sbi,Savings,6736.0,19652.0,Low
70,36,Kotak Mahindra,Savings,14318.0,54011.0,Medium
71,37,Kotak Mahindra,Current,89435.0,110282.0,Medium
72,38,Icici,Current,32944.0,53836.0,Medium
73,39,Hdfc,Savings,72955.0,92203.0,Medium
74,39,Punjab National Bank,Current,15723.0,44299.0,Low
75,39,Icici,Current,33108.0,32358.0,Low
76,40,Kotak Mahindra,Current,28227.0,60749.0,Medium
77,40,Punjab National Bank,Current,45472.0,38287.0,Low
78,40,Hdfc,Current,14944.0,19134.0,Low
79,41,Sbi,Savings,92890.0,80211.0,Medium
80,41,Punjab National Bank,Savings,68848.0,75269.0,Medium
81,42,Icici,Savings,23460.0,12946.0,Low
82,43,Canara Bank,Current,34305.0,14882.0,Low
83,44,Sbi,Current,67837.0,103463.0,Medium
84,44,Sbi,Current,22658.0,24936.0,Low
85,45,Sbi,Current,32902.0,63766.0,Medium
86,46,Icici,Savings,41040.0,62053.0,Medium
87,46,Canara Bank,Savings,68544.0,57138.0,Medium
88,46,Icici,Current,58637.0,103076.0,Medium
89,47,Hdfc,Savings,61912.0,47158.0,Low
90,47,Punjab National Bank,Current,67408.0,88595.0,Medium
91,47,Sbi,Current,88561.0,104602.0,Medium
92,48,Kotak Mahindra,Savings,32330.0,66242.0,Medium
93,48,Canara Bank,Current,55848.0,52691.0,Medium
94,48,Kotak Mahindra,Savings,30053.0,57125.0,Medium
95,49,Sbi,Savings,7756.0,0.0,
96,49,Icici,Current,88746.0,107436.0,Medium
97,49,Canara Bank,Savings,23358.0,12228.0,Low
98,50,Canara Bank,Current,75662.0,63358.0,Medium
99,50,Axis Bank,Savings,78554.0,118423.0,Medium
100,50,Hdfc,Savings,65496.0,84564.0,Medium
101,51,Icici,Current,69892.0,105262.0,Medium
102,51,Hdfc,Savings,15204.0,19937.0,Low
103,52,Sbi,Current,24443.0,43232.0,Low
104,52,Hdfc,Current,80516.0,127864.0,Medium
105,53,Canara Bank,Current,98544.0,89107.0,Medium
106,53,Sbi,Savings,76624.0,86821.0,Medium
107,53,Icici,Current,55472.0,89649.0,Medium
108,54,Punjab National Bank,Current,30551.0,50084.0,Medium
109,54,Icici,Savings,27835.0,34464.0,Low
110,54,Sbi,Savings,64215.0,64864.0,Medium
111,55,Sbi,Current,34000.0,67345.0,Medium
112,55,Icici,Savings,78583.0,93917.0,Medium
113,56,Axis Bank,Current,41152.0,61682.0,Medium
114,56,Punjab National Bank,Savings,30204.0,41607.0,Low
115,56,Hdfc,Savings,40375.0,81171.0,Medium
116,57,Sbi,Current,91368.0,86938.0,Medium
117,58,Kotak Mahindra,Savings,10811.0,22846.0,Low
118,59,Canara Bank,Current,98171.0,88214.0,Medium
119,59,Punjab National Bank,Current,90655.0,123905.0,Medium
120,60,Kotak Mahindra,Savings,33615.0,58445.0,Medium
121,61,Kotak Mahindra,Savings,75899.0,96044.0,Medium
122,61,Axis Bank,Current,59470.0,65649.0,Medium
123,62,Kotak Mahindra,Current,36895.0,21867.0,Low
124,62,Hdfc,Savings,62372.0,67381.0,Medium
125,62,Kotak Mahindra,Savings,62946.0,101347.0,Medium
126,63,Axis Bank,Current,56818.0,84788.0,Medium
127,63,Axis Bank,Current,34253.0,77328.0,Medium
128,63,Hdfc,Savings,52546.0,90824.0,Medium
129,64,Axis Bank,Current,57991.0,77539.0,Medium
130,65,Icici,Current,9160.0,8225.0,Low
131,65,Punjab National Bank,Savings,85141.0,100635.0,Medium
132,65,Canara Bank,Current,48344.0,97360.0,Medium
133,66,Canara Bank,Savings,68303.0,70550.0,Medium
134,66,Canara Bank,Current,50452.0,45830.0,Low
135,66,Axis Bank,Savings,30174.0,32100.0,Low
136,67,Icici,Savings,81819.0,117746.0,Medium
137,67,Canara Bank,Savings,68031.0,81183.0,Medium
138,67,Punjab National Bank,Savings,47815.0,61713.0,Medium
139,68,Axis Bank,Savings,33589.0,49315.0,Low
140,68,Kotak Mahindra,Current,44432.0,54610.0,Medium
141,68,Canara Bank,Savings,94851.0,113227.0,Medium
142,69,Sbi,Savings,41144.0,54715.0,Medium
143,70,Hdfc,Savings,81584.0,104095.0,Medium
144,71,Axis Bank,Savings,44281.0,85892.0,Medium
145,71,Icici,Savings,60994.0,101867.0,Medium
146,72,Punjab National Bank,Current,89204.0,115975.0,Medium
147,72,Icici,Savings,76225.0,86988.0,Medium
148,72,Hdfc,Savings,50625.0,84454.0,Medium
149,73,Punjab National Bank,Current,22976.0,31506.0,Low
150,73,Hdfc,Savings,24268.0,11819.0,Low
151,74,Kotak Mahindra,Savings,54793.0,98128.0,Medium
152,75,Punjab National Bank,Savings,37136.0,71256.0,Medium
153,75,Kotak Mahindra,Current,59352.0,55911.0,Medium
154,75,Punjab National Bank,Current,91574.0,109531.0,Medium
155,76,Kotak Mahindra,Current,17999.0,54707.0,Medium
156,77,Icici,Current,30435.0,30441.0,Low
157,77,Canara Bank,Savings,48660.0,51596.0,Medium
158,77,Kotak Mahindra,Current,23736.0,17423.0,Low
159,78,Sbi,Savings,27231.0,22232.0,Low
160,78,Kotak Mahindra,Savings,28021.0,61210.0,Medium
161,78,Hdfc,Savings,65909.0,92440.0,Medium
162,79,Punjab National Bank,Savings,28991.0,60718.0,Medium
163,79,Hdfc,Current,90734.0,138495.0,Medium
164,80,Axis Bank,Savings,54547.0,35982.0,Low
165,80,Icici,Current,56800.0,106772.0,Medium
166,80,Punjab National Bank,Current,93664.0,79184.0,Medium
167,81,Axis Bank,Savings,82357.0,95656.0,Medium
168,81,Icici,Current,55778.0,64939.0,Medium
169,81,Kotak Mahindra,Current,72269.0,53638.0,Medium
170,82,Canara Bank,Savings,46154.0,47895.0,Low
171,82,Hdfc,Current,24597.0,10735.0,Low
172,82,Icici,Savings,21202.0,70860.0,Medium
173,83,Icici,Savings,91209.0,134865.0,Medium
174,83,Icici,Savings,85757.0,119351.0,Medium
175,83,Axis Bank,Savings,24297.0,10890.0,Low
176,84,Sbi,Current,43198.0,25355.0,Low
177,84,Punjab National Bank,Current,34212.0,59456.0,Medium
178,84,Sbi,Current,31636.0,22902.0,Low
179,85,Punjab National Bank,Current,46529.0,58658.0,Medium
180,85,Punjab National Bank,Savings,77481.0,100021.0,Medium
181,86,Punjab National Bank,Current,13295.0,27313.0,Low
182,87,Sbi,Savings,33791.0,71984.0,Medium
183,88,Punjab National Bank,Savings,74317.0,61403.0,Medium
184,88,Icici,Current,77403.0,82182.0,Medium
185,89,Icici,Savings,84216.0,119953.0,Medium
186,89,Hdfc,Savings,76803.0,75915.0,Medium
187,90,Kotak Mahindra,Current,92042.0,106929.0,Medium
188,91,Hdfc,Current,22767.0,54425.0,Medium
189,91,Icici,Savings,98133.0,97541.0,Medium
190,92,Kotak Mahindra,Savings,12033.0,12350.0,Low
191,92,Kotak Mahindra,Current,43288.0,52268.0,Medium
192,92,Canara Bank,Current,24138.0,53380.0,Medium
193,93,Sbi,Current,74948.0,79241.0,Medium
194,93,Hdfc,Current,97319.0,134268.0,Medium
195,94,Sbi,Savings,68054.0,50369.0,Medium
196,94,Canara Bank,Savings,51957.0,87940.0,Medium
197,95,Icici,Current,81835.0,85213.0,Medium
198,96,Canara Bank,Current,75706.0,71572.0,Medium
199,96,Kotak Mahindra,Current,99807.0,136224.0,Medium
200,96,Canara Bank,Savings,8090.0,40135.0,Low
201,97,Canara Bank,Savings,28288.0,10875.0,Low
202,97,Kotak Mahindra,Current,44049.0,27163.0,Low
203,97,Icici,Savings,35849.0,54309.0,Medium
204,98,Icici,Savings,54244.0,68728.0,Medium
205,98,Icici,Savings,24187.0,33911.0,Low
206,98,Axis Bank,Savings,86267.0,77687.0,Medium
207,99,Sbi,Current,92141.0,90424.0,Medium
208,99,Icici,Savings,67177.0,62489.0,Medium
209,100,Axis Bank,Current,53363.0,63640.0,Medium
210,100,Icici,Savings,76096.0,71414.0,Medium
211,100,Sbi,Savings,78388.0,120158.0,Medium
212,101,Canara Bank,Current,89591.0,72220.0,Medium
213,101,Hdfc,Savings,64559.0,63880.0,Medium
214,102,Icici,Savings,16895.0,37829.0,Low
215,102,Hdfc,Savings,93518.0,89884.0,Medium
216,103,Sbi,Current,92621.0,111480.0,Medium
217,103,Axis Bank,Savings,43965.0,43907.0,Low
218,104,Punjab National Bank,Savings,80139.0,104531.0,Medium
219,104,Icici,Savings,84870.0,99758.0,Medium
220,104,Axis Bank,Savings,47711.0,30410.0,Low
221,105,Kotak Mahindra,Savings,44425.0,83003.0,Medium
222,105,Sbi,Current,36049.0,35002.0,Low
223,106,Axis Bank,Current,75993.0,63864.0,Medium
224,107,Punjab National Bank,Current,65401.0,113780.0,Medium
225,107,Axis Bank,Current,13817.0,13122.0,Low
226,107,Sbi,Current,90314.0,119640.0,Medium
227,108,Kotak Mahindra,Savings,46817.0,95183.0,Medium
228,108,Axis Bank,Savings,26467.0,73913.0,Medium
229,109,Axis Bank,Current,51620.0,56562.0,Medium
230,109,Hdfc,Savings,63020.0,111811.0,Medium
231,110,Canara Bank,Savings,49920.0,74960.0,Medium
232,110,Sbi,Current,28573.0,28786.0,Low
233,110,Sbi,Savings,64851.0,71110.0,Medium
234,111,Sbi,Current,85823.0,98372.0,Medium
235,111,Kotak Mahindra,Savings,79590.0,93987.0,Medium
236,112,Kotak Mahindra,Current,45626.0,43764.0,Low
237,113,Axis Bank,Savings,46952.0,52228.0,Medium
238,114,Kotak Mahindra,Current,79439.0,67774.0,Medium
239,114,Punjab National Bank,Current,39292.0,38846.0,Low
240,114,Canara Bank,Current,43558.0,50885.0,Medium
241,115,Icici,Savings,56518.0,58511.0,Medium
242,116,Hdfc,Savings,73231.0,75582.0,Medium
243,117,Sbi,Current,34670.0,83950.0,Medium
244,117,Canara Bank,Savings,90453.0,110053.0,Medium
245,117,Hdfc,Savings,28567.0,64576.0,Medium
246,118,Kotak Mahindra,Current,72819.0,102291.0,Medium
247,118,Icici,Savings,74629.0,113797.0,Medium
248,119,Axis Bank,Current,79605.0,64709.0,Medium
249,119,Axis Bank,Savings,53452.0,92387.0,Medium
250,120,Canara Bank,Savings,95784.0,128854.0,Medium
251,120,Punjab National Bank,Savings,15975.0,13340.0,Low
252,120,Kotak Mahindra,Current,6258.0,37459.0,Low
253,121,Icici,Current,59653.0,100800.0,Medium
254,122,Sbi,Current,70063.0,72445.0,Medium
255,122,Punjab National Bank,Current,36629.0,21287.0,Low
256,123,Sbi,Current,53814.0,72984.0,Medium
257,123,Punjab National Bank,Savings,59199.0,82154.0,Medium
258,124,Canara Bank,Savings,15356.0,53363.0,Medium
259,124,Axis Bank,Savings,9494.0,49684.0,Low
260,124,Kotak Mahindra,Current,36318.0,26484.0,Low
261,125,Punjab National Bank,Current,76014.0,124167.0,Medium
262,126,Sbi,Savings,66058.0,51016.0,Medium
263,127,Axis Bank,Savings,33368.0,15981.0,Low
264,127,Punjab National Bank,Savings,62628.0,45710.0,Low
265,128,Kotak Mahindra,Current,21066.0,65132.0,Medium
266,129,Axis Bank,Savings,79904.0,124605.0,Medium
267,129,Punjab National Bank,Current,17875.0,48840.0,Low
268,130,Hdfc,Current,62180.0,99688.0,Medium
269,131,Axis Bank,Current,49631.0,62949.0,Medium
270,132,Sbi,Current,50216.0,43098.0,Low
271,132,Hdfc,Current,12717.0,52654.0,Medium
272,132,Axis Bank,Current,55553.0,93256.0,Medium
273,133,Kotak Mahindra,Current,8709.0,0.0,
274,134,Punjab National Bank,Current,93936.0,119402.0,Medium
275,135,Punjab National Bank,Savings,75324.0,74276.0,Medium
276,135,Canara Bank,Current,82612.0,90438.0,Medium
277,135,Hdfc,Current,71934.0,82434.0,Medium
278,136,Kotak Mahindra,Savings,43063.0,48130.0,Low
279,136,Kotak Mahindra,Current,57384.0,47517.0,Low
280,137,Hdfc,Savings,77727.0,62978.0,Medium
281,138,Hdfc,Current,14260.0,35835.0,Low
282,138,Kotak Mahindra,Savings,67842.0,87465.0,Medium
283,139,Kotak Mahindra,Current,57496.0,101655.0,Medium
284,140,Axis Bank,Savings,66453.0,68664.0,Medium
285,140,Punjab National Bank,Current,91026.0,128676.0,Medium
286,140,Hdfc,Current,87879.0,124623.0,Medium
287,141,Axis Bank,Current,85851.0,103307.0,Medium
288,141,Kotak Mahindra,Savings,39974.0,74477.0,Medium
289,141,Punjab National Bank,Savings,21095.0,6716.0,Low
290,142,Sbi,Current,38575.0,71942.0,Medium
291,142,Punjab National Bank,Current,78185.0,118002.0,Medium
292,143,Punjab National Bank,Current,28834.0,12767.0,Low
293,143,Axis Bank,Current,58675.0,88201.0,Medium
294,143,Kotak Mahindra,Savings,53483.0,46944.0,Low
295,144,Canara Bank,Savings,66770.0,88027.0,Medium
296,144,Axis Bank,Savings,33575.0,79838.0,Medium
297,144,Icici,Current,90574.0,112699.0,Medium
298,145,Kotak Mahindra,Savings,88928.0,72069.0,Medium
299,145,Axis Bank,Savings,8756.0,23560.0,Low
300,145,Punjab National Bank,Current,33871.0,71518.0,Medium
301,146,Hdfc,Current,77412.0,81490.0,Medium
302,146,Kotak Mahindra,Current,59922.0,45850.0,Low
303,146,Hdfc,Savings,34275.0,40660.0,Low
304,147,Hdfc,Savings,93023.0,131849.0,Medium
305,147,Hdfc,Savings,67138.0,79888.0,Medium
306,147,Kotak Mahindra,Current,87672.0,82973.0,Medium
307,148,Sbi,Current,53881.0,93127.0,Medium
308,148,Axis Bank,Current,8030.0,33235.0,Low
309,148,Kotak Mahindra,Savings,20599.0,34212.0,Low
310,149,Canara Bank,Savings,6991.0,1312.0,Low
311,150,Axis Bank,Savings,32344.0,28997.0,Low
312,150,Kotak Mahindra,Savings,48005.0,81764.0,Medium
313,151,Icici,Current,23349.0,46516.0,Low
314,151,Hdfc,Current,5924.0,0.0,
315,151,Icici,Current,77343.0,89646.0,Medium
316,152,Sbi,Savings,25951.0,13965.0,Low
317,152,Punjab National Bank,Savings,20480.0,70043.0,Medium
318,152,Icici,Current,97052.0,104423.0,Medium
319,153,Punjab National Bank,Current,37914.0,49301.0,Low
320,153,Hdfc,Savings,12186.0,28239.0,Low
321,153,Icici,Savings,31998.0,76213.0,Medium
322,154,Sbi,Current,47468.0,85524.0,Medium
323,154,Sbi,Current,55201.0,35948.0,Low
324,154,Kotak Mahindra,Savings,68724.0,114536.0,Medium
325,155,Canara Bank,Current,59109.0,97619.0,Medium
326,156,Axis Bank,Savings,83301.0,106773.0,Medium
327,156,Hdfc,Savings,8260.0,13098.0,Low
328,156,Hdfc,Current,38377.0,61434.0,Medium
329,157,Kotak Mahindra,Current,28275.0,70573.0,Medium
330,157,Icici,Current,33533.0,58864.0,Medium
331,158,Punjab National Bank,Current,58706.0,73638.0,Medium
332,158,Icici,Current,28377.0,57773.0,Medium
333,158,Sbi,Savings,70690.0,77241.0,Medium
334,159,Kotak Mahindra,Current,72953.0,103493.0,Medium
335,159,Sbi,Current,47685.0,67230.0,Medium
336,159,Axis Bank,Current,53018.0,85609.0,Medium
337,160,Hdfc,Current,56370.0,43851.0,Low
338,160,Hdfc,Savings,57255.0,68582.0,Medium
339,161,Hdfc,Savings,55972.0,99950.0,Medium
340,162,Hdfc,Savings,17628.0,19189.0,Low
341,162,Icici,Current,86397.0,121534.0,Medium
342,163,Punjab National Bank,Current,98064.0,96119.0,Medium
343,163,Sbi,Current,86040.0,103822.0,Medium
344,163,Punjab National Bank,Savings,64816.0,105384.0,Medium
345,164,Sbi,Savings,22542.0,62262.0,Medium
346,164,Canara Bank,Savings,38085.0,59117.0,Medium
347,164,Sbi,Current,57749.0,51910.0,Medium
348,165,Punjab National Bank,Current,95775.0,137179.0,Medium
349,165,Axis Bank,Current,81356.0,129450.0,Medium
350,166,Sbi,Current,27898.0,67519.0,Medium
351,166,Canara Bank,Savings,86593.0,132264.0,Medium
352,166,Canara Bank,Current,53309.0,54782.0,Medium
353,167,Kotak Mahindra,Savings,9163.0,0.0,
354,168,Kotak Mahindra,Current,92760.0,129060.0,Medium
355,168,Axis Bank,Current,41302.0,89252.0,Medium
356,169,Axis Bank,Current,65503.0,80765.0,Medium
357,169,Sbi,Current,51120.0,77080.0,Medium
358,169,Sbi,Savings,78848.0,80627.0,Medium
359,170,Hdfc,Savings,90624.0,111337.0,Medium
360,170,Canara Bank,Current,56019.0,100303.0,Medium
361,171,Hdfc,Savings,49276.0,30338.0,Low
362,172,Hdfc,Current,52638.0,59427.0,Medium
363,173,Axis Bank,Savings,19794.0,12411.0,Low
364,173,Icici,Savings,28845.0,54460.0,Medium
365,174,Sbi,Current,77327.0,89201.0,Medium
366,175,Canara Bank,Savings,37134.0,49768.0,Low
367,175,Canara Bank,Current,11420.0,45259.0,Low
368,176,Hdfc,Current,47146.0,70286.0,Medium
369,176,Axis Bank,Current,29688.0,58565.0,Medium
370,177,Punjab National Bank,Savings,91786.0,77748.0,Medium
371,177,Axis Bank,Current,77366.0,99206.0,Medium
372,178,Axis Bank,Savings,91840.0,112000.0,Medium
373,179,Axis Bank,Current,5676.0,44750.0,Low
374,180,Axis Bank,Savings,55740.0,57585.0,Medium
375,181,Punjab National Bank,Current,76859.0,95842.0,Medium
376,182,Hdfc,Current,49953.0,68078.0,Medium
377,182,Punjab National Bank,Savings,73582.0,77659.0,Medium
378,182,Canara Bank,Current,64050.0,74215.0,Medium
379,183,Canara Bank,Current,65994.0,77536.0,Medium
380,183,Kotak Mahindra,Current,10870.0,53391.0,Medium
381,183,Kotak Mahindra,Savings,43463.0,53993.0,Medium
382,184,Icici,Current,91844.0,100820.0,Medium
383,184,Icici,Current,85030.0,78347.0,Medium
384,184,Axis Bank,Savings,68615.0,113303.0,Medium
385,185,Hdfc,Savings,88188.0,122299.0,Medium
386,186,Punjab National Bank,Current,93533.0,118370.0,Medium
387,187,Kotak Mahindra,Savings,12108.0,58796.0,Medium
388,188,Icici,Savings,22722.0,33248.0,Low
389,189,Punjab National Bank,Current,19463.0,52277.0,Medium
390,189,Sbi,Savings,74644.0,93274.0,Medium
391,190,Punjab National Bank,Savings,88905.0,91753.0,Medium
392,190,Canara Bank,Current,41303.0,41998.0,Low
393,190,Icici,Savings,63055.0,50779.0,Medium
394,191,Axis Bank,Current,73600.0,117482.0,Medium
395,191,Sbi,Current,84419.0,80783.0,Medium
396,191,Punjab National Bank,Current,45608.0,73866.0,Medium
397,192,Punjab National Bank,Current,13700.0,33911.0,Low
398,192,Icici,Savings,63422.0,61589.0,Medium
399,193,Sbi,Savings,23968.0,66363.0,Medium
400,194,Hdfc,Savings,57676.0,100575.0,Medium
401,194,Kotak Mahindra,Current,28083.0,27493.0,Low
402,194,Sbi,Savings,31861.0,63265.0,Medium
403,195,Icici,Current,23095.0,32015.0,Low
404,195,Sbi,Savings,14545.0,51854.0,Medium
405,196,Canara Bank,Savings,28541.0,34433.0,Low
406,196,Kotak Mahindra,Savings,27740.0,73517.0,Medium
407,197,Canara Bank,Savings,30953.0,29139.0,Low
408,197,Punjab National Bank,Current,34337.0,40475.0,Low
409,198,Sbi,Savings,12227.0,0.0,
410,198,Hdfc,Current,60923.0,44022.0,Low
411,199,Icici,Current,9577.0,22276.0,Low
412,199,Sbi,Current,40974.0,39816.0,Low
413,199,Axis Bank,Current,49841.0,76208.0,Medium
414,200,Canara Bank,Savings,38920.0,40545.0,Low
415,200,Punjab National Bank,Current,96885.0,119783.0,Medium
416,201,Kotak Mahindra,Current,78867.0,114299.0,Medium
417,202,Axis Bank,Savings,78385.0,82628.0,Medium
418,203,Axis Bank,Savings,26863.0,27017.0,Low
419,203,Axis Bank,Current,30561.0,17800.0,Low
420,203,Icici,Savings,30662.0,28024.0,Low
421,204,Canara Bank,Savings,48384.0,49095.0,Low
422,204,Canara Bank,Current,31743.0,73248.0,Medium
423,205,Axis Bank,Savings,96299.0,90470.0,Medium
424,205,Punjab National Bank,Savings,67219.0,75065.0,Medium
425,206,Kotak Mahindra,Current,56073.0,56857.0,Medium
426,206,Kotak Mahindra,Savings,83327.0,102508.0,Medium
427,207,Icici,Current,47252.0,61579.0,Medium
428,207,Axis Bank,Savings,12972.0,20522.0,Low
429,207,Axis Bank,Current,13539.0,12402.0,Low
430,208,Axis Bank,Savings,53513.0,51502.0,Medium
431,209,Kotak Mahindra,Savings,65842.0,86316.0,Medium
432,210,Hdfc,Current,5287.0,46700.0,Low
433,210,Canara Bank,Current,18036.0,50112.0,Medium
434,211,Canara Bank,Savings,89025.0,131822.0,Medium
435,211,Sbi,Savings,75345.0,57084.0,Medium
436,211,Hdfc,Current,62790.0,61890.0,Medium
437,212,Canara Bank,Current,91456.0,82080.0,Medium
438,212,Hdfc,Savings,66832.0,113258.0,Medium
439,212,Hdfc,Current,71623.0,88299.0,Medium
440,213,Punjab National Bank,Savings,89960.0,101281.0,Medium
441,213,Sbi,Current,94833.0,124688.0,Medium
442,214,Icici,Savings,52214.0,37577.0,Low
443,214,Icici,Savings,79357.0,94871.0,Medium
444,214,Axis Bank,Savings,89810.0,77495.0,Medium
445,215,Axis Bank,Savings,18235.0,0.0,
446,215,Kotak Mahindra,Current,76336.0,93868.0,Medium
447,216,Hdfc,Savings,48826.0,84313.0,Medium
448,217,Kotak Mahindra,Savings,65142.0,105774.0,Medium
449,217,Axis Bank,Savings,42845.0,91865.0,Medium
450,218,Axis Bank,Savings,65000.0,110586.0,Medium
451,219,Icici,Savings,59685.0,72569.0,Medium
452,219,Punjab National Bank,Current,99368.0,111796.0,Medium
453,220,Axis Bank,Savings,32945.0,63089.0,Medium
454,220,Hdfc,Current,83594.0,117052.0,Medium
455,220,Punjab National Bank,Current,38912.0,57377.0,Medium
456,221,Icici,Savings,92508.0,118098.0,Medium
457,221,Hdfc,Savings,18112.0,8509.0,Low
458,221,Axis Bank,Current,7423.0,6409.0,Low
459,222,Punjab National Bank,Savings,43376.0,88466.0,Medium
460,223,Icici,Savings,93431.0,136602.0,Medium
461,223,Punjab National Bank,Savings,56347.0,63662.0,Medium
462,224,Punjab National Bank,Current,62743.0,84635.0,Medium
463,224,Icici,Current,34009.0,48102.0,Low
464,225,Canara Bank,Savings,11558.0,0.0,
465,225,Canara Bank,Savings,71364.0,72452.0,Medium
466,225,Icici,Current,58627.0,75921.0,Medium
467,226,Hdfc,Current,28274.0,73443.0,Medium
468,227,Hdfc,Current,32080.0,27381.0,Low
469,227,Punjab National Bank,Current,26183.0,56849.0,Medium
470,228,Sbi,Current,71672.0,72084.0,Medium
471,229,Axis Bank,Savings,57329.0,64704.0,Medium
472,229,Punjab National Bank,Current,80282.0,98527.0,Medium
473,229,Hdfc,Savings,59350.0,97367.0,Medium
474,230,Canara Bank,Current,37146.0,23577.0,Low
475,231,Kotak Mahindra,Current,52343.0,93502.0,Medium
476,231,Punjab National Bank,Current,24653.0,19678.0,Low
477,231,Hdfc,Savings,50757.0,46689.0,Low
478,232,Punjab National Bank,Savings,41045.0,36107.0,Low
479,232,Punjab National Bank,Current,90605.0,134453.0,Medium
480,233,Punjab National Bank,Savings,6085.0,26016.0,Low
481,233,Hdfc,Savings,73587.0,65033.0,Medium
482,233,Sbi,Current,84082.0,87378.0,Medium
483,234,Sbi,Current,13752.0,36928.0,Low
484,234,Canara Bank,Current,29288.0,70393.0,Medium
485,234,Icici,Savings,57154.0,48763.0,Low
486,235,Punjab National Bank,Savings,60607.0,51012.0,Medium
487,235,Kotak Mahindra,Current,26340.0,35301.0,Low
488,235,Punjab National Bank,Savings,59768.0,91433.0,Medium
489,236,Kotak Mahindra,Current,71849.0,75569.0,Medium
490,236,Icici,Current,18089.0,22075.0,Low
491,237,Punjab National Bank,Savings,43092.0,64427.0,Medium
492,237,Axis Bank,Current,66672.0,89014.0,Medium
493,237,Icici,Savings,84063.0,67275.0,Medium
494,238,Hdfc,Current,84505.0,77200.0,Medium
495,239,Punjab National Bank,Savings,24030.0,20940.0,Low
496,240,Axis Bank,Current,38965.0,87580.0,Medium
